Hedge,Type,Definition of Hedge Type,Hedge Definition,Hedge Example,Non-hedge Definition,Non-hedge Example,Stem
fair,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),decent; moderate,She is a fair mark with a gun.,just; impartial,The judge was fair.,n
fairly,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),moderately; somewhat,This judgment passed down fairly recently.,in a fair manner,The judge decided fairly.,n
feel,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to think,I felt it was uncalled for.,to sense/be affected by,I felt sick afterwards.,y
find,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to perceive,I found it curious that you were objective to it.,to locate,I found my keys under the couch.,y
general,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),basic,I have a general understanding of this concept.,army official,He is a five star general.,n
frequently,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),often; many times,John frequently stops by the candy shop to buy gummy worms.,Other,Other,n
generally,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),for the most part,This is a generally accurate interpretation of the facts.,Other,Other,n
guess,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to form a theory; a conjecture,I guess they're not coming.,Other,Other,y
hear,hRel,imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement rather than committing to the proposition themselves,to reference information acquired by overhearing it somewhere,I heard that they're building a new school two blocks down.,the act of hearing,I hear the birds sing under my window every morning.,y
imagine,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to assume; to suppose,I imagine they'll be here soon.,to conjure with one's mind,He imagined a world without war.,y
largely,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),to great extent; in great part,It is largely known that this university has a good reputation and an excellent track record.,Other,Other,n
like,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),similar to; approximately; when used as a discourse filler word; et cetera (e.g. 'and the like'),So in this case time off is like a mandatory benefit.,to feel attraction toward; to enjoy; to want; to approve of; such as; as if,They like bathtime as much as they like doing homework - not at all.,n
likely,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,He is likely to win the race.,promising or attractive,He is a likely mate.,n
may,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express possibility,That may be an effect of bioterrorism.,to express permission,The action may be brought at any time within two years.,n
maybe,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,Maybe he will actually win this year.,Other,Other,n
might,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express possibility,It might be a problem with the server.,to express advisability,You might just give a very short explanation of what it is.,n
mostly,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),in the majority of instances,He mostly keeps to himself.,Other,Other,n
most,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),in the majority of instances,Most operations are successful.,greatest in quantity or degree,Jack had the most cherries out of everyone.,n
nearly,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),almost; with close approximation,The cat got nearly to the fence before we caught him.,closely,These two women are nearly related.,n
occasionally,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),at times,The mailman occasionally forgets to come to our house.,Other,Other,n
often,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),frequently,He often visits his parents on the weekends.,much,He visits his parents as often as he can.,n
partial,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),incomplete,They had partial success with this matter.,biased,The judge was partial to the defense.,n
partially,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),in part; not totatlly,The project was partially completed on Sunday.,prejudiced,The cop was acting partially towards the young lady while cracking down on her companion.,n
perhaps,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,Perhaps he will actually win this year.,Other,Other,n
possible,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),something that may or may not be true,The decline of profits due to the negative reviews of the product is possible.,something that has the ability to occur,The transportation of humans to Mars is possible.,n
possibly,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),perhaps; maybe,He is possibly the most famous mayor in the state.,Other,Other,n
practically,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),almost; nearly,Their provisions were practically gone.,in a practical manner; virtually,He pointed out practically that the government couldn't afford this.,n
probable,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),likely to occur; likely to prove true,It's a case of assault and probable theft.,Other,Other,n
probably,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,Jane was probably drunk.,Other,Other,n
propose,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),put forth for consideration; propose that,I propose that we wait for a few minutes before we leave.,propose to; propose something,The senator proposed a national energy reform.,y
rarely,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),infrequently,He rarely goes out in public anymore.,Other,Other,y
read,hRel,imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement rather than committing to the proposition themselves,to reference information acquired through reading,I read that this place is bad.,to look at carefully in order to understand the meaning,I read a book.,y
rough,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),course-grained; general,This is a rough estimate.,uneven; violent; other,The rough surface of the floor scratched his feet.,n
roughly,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),in a coarse-grained or approximate manner,There are roughly a thousand soldier in the area.,violently,He shoved him roughly against the wall.,n
seem,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to give the impression of being,The problem seems to be a bug in the software.,Other,Other,y
seemingly,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to give the impression of being,He is seemingly recovered from his extended illness.,Other,Other,n
seldom,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),rarely; infrequently,She seldom visited her parents upstate anymore.,Other,Other,n
several,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),an indeterminate quantity; a few,The new ruling opened the door to several thousand new lawsuits each year.,Other,Other,n
should,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express likeliness,It should be rainy tomorrow.,to express duty/obligation,A good system should be able to handle any airport.,y
some,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,There are some contexts in which this behavior would be inapproriate.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,Some days it's so hard to get up.,y
somebody,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,Well somebody already answered those questions um I won't say who.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,It would be so easy for somebody to disturb something here.,n
somehow,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying; in some manner,And then the reagents react somehow and we get a new chemical byproduct.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,We're just going to have to scrounge up the money somehow.,n
someone,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,Someone will have to clean up this mess.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation; or to indicate a specific person,I am someone to trust.,n
sometimes,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying; infrequently,The health inspectors comes around unexpectedly sometimes.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,Sometimes you win and sometimes you lose but what's important is your attitude.,n
somewhat,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,I noticed that the car was somewhat scratched up after your little joy ride.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,Other,n
somewhere,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,It's somewhere close to nine o'clock right now.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,I'm sure you'll find your keys somewhere.,n
speculate,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to form a theory or conjecture,I can only speculate as to why they showed up today.,to engage in a business transaction,He was a trader who speculated on the price of oil.,y
suggest,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to cause one to think that something is the case; to put forward for consideration,The results suggest that the procedure is effective.,Other,Other,y
suppose,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to assume; to take without evidence,I suppose the package will arrive next week.,to be required/obligated,I'm supposed to call if I'm going to be late.,y
surely,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,He surely must have knowledge of this.,in a sure and confident manner,He stepped surely across the chasm.,n
technically,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),with respect to the facts,Technically this isn't completely correct.,having to do with a display of skill; technologically advanced,The performance of that concerto was technically sound and emotionally expressive.,n
think,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to believe,I think it's an important issue.,to come up with,I thought of the solution.,y
understand,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to perceive; to hold a point of view,I understand it to the in the range of $30-40 million.,to comprehend,I understand what you are saying.,y
unlikely,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),improbable,The candidate is unlikely to win the race.,not promising; unattractive,He is an unlikely mate.,n
unsure,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,I'm unsure about this.,lacking a feeling of confidence/safety,The footing on the bridge was unsure.,n
usually,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),ordinary; habitually,Mr. Smith usually comes by the coffeeshop half past eight.,Other,Other,y
virtually,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),for the most part,The signal is virtually untraceable.,with the use of technology,He virtually changed her password and reset the connection.,n
recall,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - to indicate uncertainty about the conveyed information,I can't recall the exact numbers but they were miniscule.,if negated - to indicate actual inability to remember information; if not negated - all meanings,I don't recall where I put my keys.,y
remember,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - to indicate uncertainty about the conveyed information,I can't remember the exact numbers but they were miniscule.,if negated - to indicate actual inability to remember information; if not negated - all meanings,I can't remember where I put my keys.,y
know,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - meaning 'not sure',I don't know if that's a good idea.,if negated - meaning 'to not possess information'; if not negated - all meanings,I don't know her phone number.,y
totally,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if negated - meaning 'not completely',She is not totally convinced of the team's strategy.,completely,She is totally wasted.,n
completely,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if negated - meaning 'not to a total extent',She is not completely convinced of the team's strategy.,totally,He is completely wasted.,n
much,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if negated - meaning 'not a lot',There isn't much going on in that part of town.,by a great amount,John is driving much faster than the speed limit.,n
necessarily,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - meaning 'as a logical result',That is not necessarily the case.,inevitably,Taking care of puppies necessarily involves a lot of cleaning.,n
really,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if negated - meaning 'not actually',He is not really one for talking.,very,The soup is really hot.,n
sure,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - to express a presence or lack of confidence with respect to something,I'm not sure what the exact numbers are.,reliable; unerring; unfailing,The footing was even and sure.,n
