SentenceID,Sentence,HedgeWord,Correct Answer,Hedge,NotHedge,Final,Agreement
87,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,about,n,0,1,0,1
233,If you read the whole article he doesn't sound like he knows if he is coming or going but that sounds about right.,knows,n,1,0,1,1
1325,All you've done is copied what I've said because my thinking was sharper,my thinking,n,0,1,0,1
3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,somebody,n,0,1,0,1
1714,I will email a couple of people and get back to you ASAP.,a couple,y,1,0,1,1
47,I mean 40% of the world is living under $2 a day.,I mean,y,1,0,1,1
43,ie there are some that have less than average.,some,y,1,0,1,1
40,They may even innovate and make better products for our society,may,y,1,0,1,1
956,To suggest that blacks are not poor due to external factors leaves black disproportionate poverty to be the result of internal factors,suggest,y,1,0,1,1
1569,Debt SlaveryHere's what class warfare looks like!,looks like,n,1,0,1,1
1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,so far,y,1,0,1,1
4285,The visit was so rough that after she left I called home to let my dad know to never send her to me for that long again without my permission,rough,n,0,1,0,1
3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,occasionally,y,1,0,1,1
2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,seemingly,y,1,0,1,1
141,I will remember the phrase,remember,n,1,0,1,1
611,There are a great many very fertile grounds for speculative research on why the Europeans started largely in last place 1500 years ago,largely,y,1,0,1,1
8751,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,the like,y,1,0,1,1
307,No-one is disputing that foreigners work very hard; indeed they often show that they are hard workers.,often,y,1,0,1,1
77,Do that a few times and these 'people' might start to behave better.,a few,y,1,0,1,1
2165,This was designed by Axelrod and the rest runningthe President's campaign.,and the rest,n,0,1,0,1
108,The current round of talks was also important because this will probably be the last meeting in which Dai will participate as special envoy on the border talks ahead of the Chinese leadership change,probably,y,1,0,1,1
1468,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,partially,y,1,0,1,1
481,I don't spend my days surfing for news bytes to find something to bitch about.,find,n,0,1,0,1
372,A bad economy and fewer jobs WILL almost certainly cause more crime and strife.,almost,y,1,0,1,1
3423,This is totally Unacceptable!,totally,n,1,0,1,1
32,There is so much wrong and you don't seem to understand what's wrong.,understand,n,0,1,0,1
1049,I am 25 and I am worried then if I ever move out they will be completely lost!,completely,n,0,1,0,1
30,Those people are a bunch of crackpots.,a bunch,y,1,0,1,1
820,I suggested the basic economics in it seemed some people didn't understand the basic cost/supply relationship - and many people in their thoughtful wish to help others less fortunate only correlate higher salary = more spending power without looking at the downstream impacts (or lack thereof).,basic,n,0,1,0,1
1537,We fight all the time - but seldom really fuss.,seldom,y,1,0,1,1
1367,It's good reading the same events in all their books...you hear a different perspective each time.,hear,n,1,0,1,1
809,I agree that people in Aboriginal communities need to help themselves if they are going to have a decent standard of living and helping themselves usually involves leaving the dust bowls where they live for somewhere where there is economic opportunity.,somewhere,y,1,0,1,1
1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,unlikely,y,1,0,1,1
1246,Then he turned around and signed a nearly $1 trillion un-stimulating succubus package and an omnibus bill with 1,nearly,y,1,0,1,1
649,But there's a significant segment of the most recent wave of Internet truther trolls that appears to be more motivated by direct sympathy for the same Islamic fundamentalist Jihadist ideals (which after cutting through the centuries-old political and religious smokescreens basically come down to 'stop giving human rights to women or we lose all hope of getting laid') that motivated the 9/11 attacks in the first place.,basically,y,1,0,1,1
1688,This study from the Economic Policy Institute found that public schools in Milwaukee generally saw no improvement from the competition introduced by vouchers.,generally,y,1,0,1,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
