SentenceID,Sentence,UncertTotal,NumTurkers,Final
1069,Thankfully the silent majority are overwhelmingly in favour of this plan and the opposition are a minute fringe pressure group way out of touch with most of the population.,5,4,1.25
3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,7,4,1.75
6353,The defence says virtually nothing.,8,4,2.0
55,No amount of justification that there was good reasons to believe can only be summed up with the Rubbaiyya of Omar Khayyam,7,5,1.4
5222,Instead the girl was made to cook,4,4,1.0
6295,from bbc.. http://news.bbc.co.uk/2/hi/europe/7947824.stm ).,4,4,1.0
5611,He seeks pledges from approximately 40,11,4,2.75
6110,This has gotten out of hand.,5,5,1.0
4647,I don't think the school is doing itself any favours by not communicating with parents straight away.,10,4,2.5
3032,HUCKABEE: I would love to know more - what I know is troubling enough.,5,4,1.25
3136,I would be more concerned with his short term intentions to be honest,7,4,1.75
5650,I have an issue with this because we were still picking her up closer to 5 and somehow everyone else had the ability to change her diaper around 4:30.,10,5,2.0
2391,All that remained left was to add gravity and a theory of everything" could be contemplated.",4,4,1.0
2419,(I do not recall this and deny it!),5,4,1.25
4970,That's the mindset that people volunteering as 'safe person' or 'security' need to have.,4,4,1.0
7146,I have no ability to concentrate on work,4,4,1.0
6595,I suppose you can call anything a bubble if you like..and point to things to support your point.,9,4,2.25
597,The slave trade in Africa began long,4,4,1.0
3441,The Royal Australian Air Force has placed a tentative order for 100 of the F-35 JSFs for about $16 billion,8,4,2.0
1201,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,9,4,2.25
50,They would not be fighting if they had the standard of living that europe and america have.,4,4,1.0
7177,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,5,4,1.25
6386,The fight" was a result of Zimmerman PURPOSEFULLY CONFRONTING MARTIN WITH HIS PREJUDICE IDEALS....IDEALS RECORDED ON THE 911 TAPE.",4,4,1.0
238,Salomon Klass is perhaps the most notable,9,4,2.25
53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,5,4,1.25
80,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,5,4,1.25
3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,8,4,2.0
5760,If you don't like the idea of being sent to a foreign land where people want to kill you,5,4,1.25
1975,I currently have maybe $18K US.,12,4,3.0
4040,I just needed the courage to ask for his help as he is very 'old sch'.,4,4,1.0
3237,He stated that Al Sharpton a self made man from the streets like me" was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton",4,4,1.0
1714,I will email a couple of people and get back to you ASAP.,5,4,1.25
4123,You guys are occupying the wrong places.,4,4,1.0
47,I mean 40% of the world is living under $2 a day.,4,4,1.0
141,I will remember the phrase,4,4,1.0
2222,I don't blame them for that fact,6,5,1.2
43,ie there are some that have less than average.,8,4,2.0
2312,I could feel them work my legs but they said this happens.,4,4,1.0
5809,this is in my opinion really bad bullying!!!,9,4,2.25
1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,4,4,1.0
7734,They didn't appear so noble to us then.,7,4,1.75
2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,5,4,1.25
1338,But they have new truck every year,4,4,1.0
2524,It now seems certain to me that within the next decade the U.K and U.S.A among others will be involved in a fully fledged war against Iran.,8,4,2.0
7120,I have been looking at the different flowers available and I am really unsure what sort of thing is appropriate from a granddaughter.,16,4,4.0
8191,The point is this: Sarah Palin made a stink about the Mosque that is two blocks away from Ground Zero due to the fact that it was close to (as we all know) the site of the twin towers that were destroyed by fanatical muslim terrorists.,5,4,1.25
7787,I think it's quite sad that there's such a huge wedding industry" these days and most people seem to feel the ONLY way to get married is to have a massively expensive party for dozens of people.",9,4,2.25
785,Addictions and sexual abuse run high.,5,4,1.25
1286,And they insisted on right to work" laws that busted up the unions.",4,4,1.0
5832,While Congress is technically not funding abortions,8,4,2.0
5578,You judge him from just a few of the ones you want to frame his entire life.,6,4,1.5
31,There is so much wrong and you don't seem to understand what's wrong.,11,4,2.75
1289,It would be better if we refocused our illegal immigration efforts off the poor immigrants and onto the rich assholes who pay them under the table so they won't have to pay an American a fair wage.,5,4,1.25
519,Bring back the kitten.,4,4,1.0
1367,It's good reading the same events in all their books...you hear a different perspective each time.,4,4,1.0
2672,then that individual must pay for the added individual premium coverage for those desired programs.,4,4,1.0
1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,8,4,2.0
4954,Insurance is the only financial product I can think of where you have to tell the company about changes to your circumstances (and then only things that are material to the policy and their underwriting decision).,8,4,2.0
1246,Then he turned around and signed a nearly $1 trillion un-stimulating succubus package and an omnibus bill with 1,5,4,1.25
7543,Newt Gingrich's Second Wife Dishes Hard To Esquire: His Money Woes,4,4,1.0
517,It's kind of hard to keep your stories straight though...,10,4,2.5
516,I thought you said in another thread that you weren't voting in the GOP Primaries...,11,4,2.75
