SentenceID,HedgeWord,Sentence,Final,Agreement
3370,about,Initially she said no because I would just 'go on about it' [why we was no speaking] and I promised I would not,0,1
4800,a couple,Hi allBasically my mum died a couple of weeks ago,1,1
6107,like,that would be like a devout muslim opening a liquor store but refusing to sell booze.,1,0.8
4913,a few,You judge him from just a few of the ones you want to frame his entire life.,1,0.8
2953,probably,That would probably take care of repeat robbery attempts.,1,1
4104,possible,It is also possible that he was hit by accident with a single 3-round burst from an M-16 by a well-trained soldier.,1,1
3345,totally,Obviously you're totally ignorant as to the make up of the people participating in the protests.,0,1
6392,really,But I would really recommend that you get an appointment with your uni counselling services.,1,0.6
1469,about,or 2. find a fuel alternative to gasoline that is about the same price and then make it available at all locations and start only producing cars that run off that.,1,1
3141,about,It's something worth thinking about,0,1
3271,maybe,Not rocket science..... or maybe it is.,1,0.8
1045,like,In the UK everyone just likes moaning.,0,0.8
4491,could,Both sides could have used better attorneys on this,1,0.8
6717,fair,With other Commonwealth places like Australia / NZ / Singapore etc fair enough - don't let them in - because as someone mentioned above,0,0.8
3628,may,Think of anything that may have been in your Mum's name (gas,1,1
5829,remember,I remember the anti-gypsy attitudes and actions in Spain.,0,0.8
5323,really,most of that is due to the fact that i gained 70 punds and i didn't really even try to be somewhat active when i could during my pregnancy.,1,0.8
3166,feel,Humour me....please I think everyone feels like you at sometime in their lives.. if everyone put off getting married/having a family till they could afford it many would be single and childless..,1,0.6
6692,completely,my pie turned out awesome and got completely eaten,0,1
5683,know,I don't know how far down he is prepared to drag us; I don't know if the Democratic party has enough morale to rally itself against him.,1,0.8
2706,should,anyone comparing al sharkskin to anything other than an elocutionary murderer on a scale comparable with hitler and all around steaming pile of  should have their head examined,0,0.8
2815,about,It fails to report on the warnings from U.S. allies about the attacks,0,1
3096,may,It is a matter of establishing yourself with one who sees your differential...whatever it may be.,1,1
2473,most,Apples are one of the most heavily sprayed crops (even in the US),0,1
7317,about,The effect people are talking about isn't simple political rhetoric designed to sway votes.,0,1
3020,like,You're going to take it from a little state like Massachusetts,1,0.8
2927,like,It reads in part:Learn from Real People like you and me,1,1
3548,basic,They stand for the same basic Entitlement philosophy.,1,0.6
3223,about,This is about a family and their grief first and religion,0,0.8
2962,could,They were a part of life and could be found in most walks of life - including Naval Aviation ('tho one had to look for them in some circles) Apart from skin color they were like us - no big deal (I'm Irish - it was the Italians we hated).,1,1
1999,about,I ignored it for a year before H made me go to the doctor or stop whining about it.,0,0.8
695,should,Any ideas on what should be done because we are going nowhere and things that are being tried only breed resentment and anger.,0,1
6355,think,I do not want to be tight in such circumstances but if I'm honest I think my Grandad would give me a right telling off if he thought I was going to spend that much money on flowers anyway.,1,1
7288,estimate,The U.S. Department of Energy estimates that the federal portion of offshore drilling,1,1
5229,think,Those idiots can only think of one answer to the question because anything else would spoinl their attempt to make this a race issue.,0,0.8
1525,know,I don't know where your graph is from but it's not accurate.,1,0.8
2333,about,So we need to go in from the start saying with Iran it's about regime change,0,0.8
4487,should,Actually what they're arguing if you read it closely is that Hustler should be expanded to private individuals,0,1
4742,some,So sad too how the prospect of a few material things when someone is ill can turn some people into total vulchers.,1,0.6
792,know,Which is why I know that it is one Saudi,1,0.8
6436,about,How about when the Bush administration broke the law and engaged in warrantless wiretaps.,0,0.8
5613,find,Women who kill are - at least here - most likely to do so after years of violence - and a number of attempts to escape said violence - not infrequently when they find the fella has abused the kids.,1,0.6
2420,about,Even when it really was going about claiming to be communist china was really infact just another stalinist dictatorship.,0,0.8
7053,somewhere,They had to be air lifted in somewhere around the first of June.,1,0.6
2833,about,just because she complained about sharing a room,0,1
2966,sometimes,It is odd to note the similarity of the 'protest stories' I have read on this thread to the 'war stories' often told (and exaggerated) by veterans (and sometimes non-veterans) of very different struggles.,0,0.8
3038,might,I might hit you.,1,1
5516,a few,I stayed on the floor for a few moments,1,1
5832,some,Although I do see strong parallels between the position of some minorities (in particular areas,1,0.8
2039,most,You probably think most all human suffering is just some big joke - all of it,1,0.8
1023,may,The June 8 attack on the Al Furqan mosque in Narathiwat province's Joh-I-Rong district and its aftermath suggest such initiatives may have backfired.,1,1
2042,may,Central nervous system effects may include headache,1,1
4522,imagine,I am so scared of having the operation and imagine all the horrible things that could go wrong,0,1
6738,sort of,"You say that as if Levantine Arab was some sort of cohesive ethnic group in Syria.""""",0,1
4890,kind of,Basically it's a kind of incitment to riot and it ought to be illegal.,0,0.8
6418,expect,These are people who have grown up with nothing and expect nothing,0,1
4309,know,But I don't know who was number one in the entire class.,1,0.6
6743,probably,So the likely death toll from starvation in Syria (kids alone) is probably 1,1,0.6
5852,may,We may get a call from a client saying that they need something and called another service as well..and the one who performs the quickest gets the order.,1,1
5123,know,She wears a spinal brace and he punches it so while it doesnt really hurt her i would prefer him not to I know i'm not the only parent who has an issue with him,0,1
5871,suppose,I suppose you can call anything a bubble if you like..and point to things to support your point.,1,0.8
2462,read,I read through the entire label on one bottle (Motts) and could not find anything to indicate where the apple juice was from.,0,0.6
6697,know,I don't really know what is up but I'm super mad about it.,1,0.8
6326,about,Apparently she has made it known to people she likes the thought of the money (my father has made no secret about the inheritance).,0,1
4355,think,I think things like Patriarchy,1,0.8
4832,probably,I probably have 2 or 3 friends.,1,1
7278,about,Dependence on Foreign OilAlthough the U.S. has about 20 billion barrels of proved reserves,1,1
855,about,They had it right in the beginning when it was about being angry at Wall Street.,0,1
4446,read,www.crimelibrary.comi read this long ass story with all the facts and letters and shit they know about him and his victims...interesting stuff.,0,1
3406,about,And thats about it - dont know more than that.,1,0.6
1220,so far,he's even gone so far as to kiss the scars from my gall bladder removal operation.,1,0.8
4974,most,Her daycare is in an officepark so I think most of the parents work right there as opposed to DH and I who work 20+ minutes away in opposite directions.,1,0.8
2075,like,I just feel like its really NONE of their business to open their mouths,1,1
6507,about,"There was a fairly large to-do about a bunch of Stop snitchin' T-shirts here in Boston over the winter.""""",0,1
2572,think,I seriously doubt a 17-year old kid would even think about arguing with someone when they have a gun.,1,0.6
6102,some,To force a church to go against its beliefs just so some poor fool can have sex without danger of getting a girl pregnant makes so little sense I can't believe people here are even defending it.,0,0.6
7319,sort of,I actually think Lougher acted the way he did out of some sort of form of psychosis.,0,0.8
3768,really,It wasn't fun really,1,1
3064,like,I'd like to expound on my prediction.,0,0.8
6831,seem,Our MSM doesn't seem very interested in covering the Afghan War much.,1,1
6260,really,Don't really have any advice to offer,1,1
3065,about,With US diplomats on the way to pressure Israel there is some mumbling about building a prison around Arafat instead of exiling him.,0,1
2931,expect,If this is the kind of marksmanship we can expect from concealed carriers,0,1
7131,think,Those idiots can only think of one answer to the question because anything else would spoinl their attempt to make this a race issue.,0,1
3817,possible,The technology that you use to communicate was made possible by advancements in space.,0,1
6652,about,And I've seen variants of this line about a million times by now:I really feel sorry for people with such hate in their hearts that they feel the need to go after Papa Joe after (list professional accomplishments of Paterno).,1,0.8
887,about,I am still in debt by about 24k.,1,1
4169,a bit,My thoughts are that governments simply let their private arms companies make a bit of cash off the war like they usually do.,1,0.8
512,a whole bunch,I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the innocent and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.,1,0.8
2070,about,Well he was talking to his friend about it and I saw the text messages...His friend has the nerve to tell him to man up.,0,1
1476,totally,I totally agree!,0,1
736,somewhere,These are folks making somewhere around the minimum wage ($5.15 an hour for nontipped workers,1,1
967,think,So I think it's just best to pardon Dick and hope that he'll leave me alone.,1,1
2797,could,Abhisit said protests could resume as long as they were peaceful.....Abhisit,1,0.6
815,believe,"But you are making a very big leap when you say Most whites are racist and an even bigger leap when you say ""whites believe in white supremacy"".",0,0.6
3790,some,They all are/were on some level.,0,0.6
3497,like,Stay strong..you seem like a lovely family.,1,0.8
5408,some,Plus I don't think I can sell my property during my IVA (I will double check this) as I will need to release some equity during the final year.,1,0.6
2962,some,They were a part of life and could be found in most walks of life - including Naval Aviation ('tho one had to look for them in some circles) Apart from skin color they were like us - no big deal (I'm Irish - it was the Italians we hated).,1,0.8
5563,possible,All it would have taken was one of the speakers saying let's take a minute to recognize the sacrifices of those who made it possible for us to com e here and complain.,0,1
4202,could,i could possibly try self employment again,1,0.6
876,feel,As I feel a child should when they become an adult and start working.,1,0.8
5503,perhaps,She should be eligible to apply for it and it would perhaps pay for a wheelchair friendly taxi for herHTH,1,1
3310,about,They have a house out there (and i seem to remember she complained about having such a long mortgage left on it.. despite being in her 60s and my dad being 59 when he passed - would a bank give them a mortgage THAT long at such an age with very decent salaries (stepmum = self employed psychologist.,0,1
5311,really,It could of been better but I admit I was lazy and didn't really work at it.,1,1
5304,feel,i dont know... i just told him that i am sorry i will never look like that and i am so scared that he wont find me attractive in a few months because i am going to get stretch marks and just be fat and gross looking and i am just so emotional and ugh... i wasnt trying to make him feel bad.,0,1
4448,think,i think this old guy is scared of dying without the recognition that he killed some ppl and trying to make history.,1,1
864,about,If the tea party stopped being about fiscal conservatism and the debt and transformed into a conservative social issues movement I would feel the same sense of disgust toward it.,0,1
6398,probably,Whilst it probably isn't a 'solution' as such,1,1
5564,really,Then Will Williams and Allen Ruff decided that free speech isn't really free and stood in front of my camera and then bum rushed me along with bald Tom Cruise.,1,0.8
6109,maybe,maybe churchs shouldnt operate hospitals then.,1,0.8
3785,a few,"I would suggest that a few more than nobody cared.""""",1,1
5250,some,OH has some health problems and have been supporting him through these as well.,1,1
4708,think,I think Powell will write another book as soon as Bush leaves office.,1,1
497,basically,"But there's a significant segment of the most recent wave of Internet truther trolls that appears to be more motivated by direct sympathy for the same Islamic fundamentalist Jihadist ideals (which after cutting through the centuries-old political and religious smokescreens basically come down to stop giving human rights to women or we lose all hope of getting laid) that motivated the 9/11 attacks in the first place.""""",1,1
7256,think,"I don't think that anyone has killed it in the debates.""""",1,1
3172,like,We would like to have a honeymoon at some point this year,0,1
877,feel,But recently it seems to have got out of control and I almost feel like I am now the parent.,0,0.6
156,sure,An incredible amount of work has been done to make sure that the satellite data are the best quality possible.,0,0.6
5306,know,i dont know what my problem is i am just scared of how my body is going to change and that i wont ever be able to look somewhat decent again.,1,0.8
2688,pretty much,The new constitution is pretty much an unhappy compromise - it displeases hardliners who want the EU to put centralised stability first,1,1
1738,think,I think it is absolutely absurd that during these very serious political times,1,1
6932,sort of,This thread is a sort of revival of one run be me and Joanne Dorel on Abuzz,1,0.8
91,may,Our Indian friends may have confidence in China's tremendous sentiment of friendship towards India.,1,0.8
6697,really,I don't really know what is up but I'm super mad about it.,0,0.6
3284,a bit,I'm seeking some Will advice that may get a bit complicated here but bare with me.,1,1
336,a little,Now all those poor people are a little more poor.,1,1
4457,about,I think I uploaded this correctlyPic of accused BTKI lived in Wichita about 20 yrs.,1,1
266,most,I don't think most Brits want to start at the bottom and do tedious low paid jobs before they get the experience to climb up the career ladder.,1,0.8
2222,like,Unlike idiots like you,1,1
2285,could,My doctor even forgave 2 stays cause I could not pay,0,1
1918,a little,They envisioned a little elastic string holding the hadrons together.,0,1
2425,seem,It does seem that IF all of the west Antarctic ice sheet - both above and below sea level - were to melt,1,0.8
6633,really,I know that there is no way to ever convince everyone about stem cell research but I think this is a good argument that I haven't really heard.,1,1
4268,think,I do think the safety net for the poor is currently fairly effective.,1,1
2039,some,You probably think most all human suffering is just some big joke - all of it,0,0.6
1334,some,You must spread some Reputation around before giving it to Katzndogz again.,1,0.6
3538,like,No it's just that people like you can't be honest.,1,1
6480,think,I think you need to look at the valuation of your home year over year.,1,0.8
4552,much,I feel much better now,0,1
3336,like,He then built those tow papers into a media empire that makes idiots like you froth at the mouth.,1,1
3186,should,However a quick comparison of Malaysia and Vietnam today should remind us that there may well have been there something worth fighting for.,0,0.6
6841,some,Sometimes for young people it take some time to understand in toto what is going on in front of you nose,0,0.6
3393,like,You know what teenagers are like,1,0.8
6491,some,It was apparently started by some thug in Baltimore The whole gist is that you can't trust the cops so you shouldn't snitch on people when you are a witness to a crime.,0,0.6
959,think,I think we've all suffered enough.,1,1
6546,about,"But the panel also expressed doubts about the legitimacy of the intervention of the legislature in the field of history and suggested that commemorations or legislative resolutions might be a better way to express sympathy for the suffering than laws to criminalize some types of speech.""""",0,1
6412,most,Africans would be better served by the EU removing it's protectionist food tariffs and agricultural subsidies and the rest of the world paying them a fair price for their abundant natural resources rather than cutting deals with the dictators who have kept parts of the continent in chaos since the end of (direct) European occupation after world war IIIt isn't just some crazy ironic twist of fate that the majority of the worlds precious metals and stones come from Africa and yet it has so many of the poorest and most violent countries,0,0.6
1935,like,Depending upon which analysis of Guth's inflationary model you choose (there are several at least) the only way to keep inflation consistent with all the other physical laws is if the inflation took place in such a way as the separation of parts of the universe that were space like remained space-like forever.,1,1
7088,think,(It's a bit off topic; but I think I'd also like to see that money come from a healthy Death Tax.,1,1
2008,most,I must say this is the most inane thread ever.,0,0.8
3296,hear,They told me a decision would be made (late November 2011) and whoever was entitled to anything (if there was anything) would hear from them.,0,0.8
5036,about,it also proves that i'm dead on about breitbart being a lying hack...,0,1
3111,a few,That and I've had a few friends that were college professors.,1,1
7388,most,They were the most comfy shoe I have ever worn.,0,1
1364,like,I'm the kind of person who likes statistics and hard facts,0,0.8
2057,may,And depending on which way the American election goes American support may not be forthcoming if someone like Ron Paul gets electedI know,1,0.8
2900,several,It's builder Sukhoi has already made a long term commitment to build the SU-35 for the forseeable future and this can be seen by the recent purchases of this aircraft by the Russian Air Force which continues to but and will for several years.,1,1
5137,about,If this was truly about medical health,0,1
1570,about,"The poll asked about 1000 people who they admired the most: About 170 said Obama.""",1,0.8
6387,read,Sorry to anyone whose read this jumbled mess,0,0.8
5504,think,One thing I think I've read is that we tend to actually remember the last telling,1,1
743,think,I think he made the right decision by so doing.,1,1
1942,might,Warning - some info might be TMI.,1,0.8
1688,find,I find him entertaining as all hell (in two minute bursts).,1,1
2019,think,I do think they should pay to clean up the oil spill,1,1
2397,like,Look like america.,1,0.8
2858,much,The paving there had less texture and was much more even--I guess because it never froze and traction was hardly an issue either.,0,0.6
5327,find,my dh said that he still finds me sexy,1,1
4105,unlikely,The political reasons seem unlikely to me because lots of soldiers including many much much higher up than him have spoken out.,1,1
525,should,They have been practacing capitalism as near perfect as it should be,0,0.6
5130,in my opinion,this is in my opinion really bad bullying!!!,1,1
223,fair,I think it is fair to say that the closer a culture is to the one time only,0,0.8
3797,propose,I've been following his website postings about the legislation he would propose as President.,1,1
3746,about,He's got a huge set of balls to complain about it now.,0,1
4341,should,The discussion I am trying to get at is: how should we deal with patriarchy,0,0.6
2112,know,Wonder why they were going to vote if they didn't really know anything about them.,0,0.8
60,a few,Do that a few times and these people might start to behave better.,1,0.8
6696,think,I don't think its because I just had the baby because my SIL has a 6month old and a 2 year old.,1,1
7119,know,I know that bothers you Socialists/Progressives,1,0.6
2411,maybe,Or maybe you got such good shit you're hallucinating.,1,1
1172,some,IDS gets rinsed in there from some of the anonymous Tory contributors....I can't remember the exact quotes but there were some in there from ex Cabinet ministers saying things like he's not that bright a bloke,1,0.7
426,several,The republicans offered several and the last one that the democrats rejected out of hand actually included closing the tax loop holds you mistakenly seem to think the democrats want.,1,1
6185,like,Sometimes I like to think that if the current generation had fought in that war,0,1
4616,should,Human rights should always come before money.,0,1
3659,about,Or why don't you go talk to Pat Tillman or countless other families who can't get the truth from the Military about their loved ones death or get the benefits that they well deserve.,0,1
2110,think,I'm all for campaigning but I think that this was really a step too far.,1,1
6415,read,I read a really good article (can't remember where) about the WWF and how they have spent so much of their resources on animals that humans like such as Panda and Rhinos at the expense of many species of birds/insects/rodents etc that aren't as cute but are far more important to their eco-systems.,0,1
5831,totally,I fully and totally agree.,0,1
7344,they said,The NY times reports that we are evacuating - so I called them to see where they got the information - and they said the embassy - as you can imagine - getting through to the American Embassy in Cairo is impossible at this time.,1,0.6
3710,believe,I believe this to be a case of apples and oranges.,1,1
2101,most,What annoyed me the most about these campaigners was the EXTREMELY aggressive approach they were taking.,0,0.6
5509,really,Makes you wonder if she really can remember being born.,1,0.6
713,basic,I suggested the basic economics in it seemed some people didn't understand the basic cost/supply relationship - and many people in their thoughtful wish to help others less fortunate only correlate higher salary = more spending power without looking at the downstream impacts (or lack thereof).,0,0.7
3524,could,The federal courts subsequently held that Coleman could not raise a federal claim because he had waived his state review.,0,0.8
3815,much,Iran is sending rodents into space but we won't be able to send so much as a microbe into space without the Russians permission.,1,0.8
3211,about,It was during my tenure at COMPHIBPAC that I learned the most about what I know about Viet Nam.,0,1
2966,often,It is odd to note the similarity of the 'protest stories' I have read on this thread to the 'war stories' often told (and exaggerated) by veterans (and sometimes non-veterans) of very different struggles.,1,0.8
1955,often,Was on Norco 10s as often as they'd dole them out - eventually learned 2 Norco 5s were a better friend to me (more Tylenol).,1,0.6
6546,some,"But the panel also expressed doubts about the legitimacy of the intervention of the legislature in the field of history and suggested that commemorations or legislative resolutions might be a better way to express sympathy for the suffering than laws to criminalize some types of speech.""""",1,0.6
663,about,I curse worse than a sailor so I felt it was best to think about those choice words for her.,0,1
6711,I mean,I mean look at the French.,1,0.8
6110,know,I know of grocery stores who won't sell tobacco.,0,0.6
3942,some,If they can create a flouride that makes people communists surely they can come up with some kind of drug that destroys the sex thing.,0,0.6
5784,someone,"Also...this is from personal experience too......more than half the time when someone withholds information from me because they didn't want to worry or ""bother"" me....it wasn't anything I'd have been worried or bothered about anyway.""""",1,0.6
3985,about,Perhaps Rice could impress American journalists if she talked more about her accessorizing.,0,1
801,much,"Too much of the the fair game trash got a young man killed.""""",0,0.8
114,think,I think it would explain most of the PIOUS statements by the far left.,1,0.8
1152,think,I think your local farmers are onto something.,1,1
5510,should,Sounds like an idea that should be explored scientifically.,0,0.8
7157,like,"He stated that Al Sharpton a self made man from the streets like me was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton""""",1,1
5358,sort of,Helps that I'm sort of in the trade but I don't like the idea of depreciation all that much and this is one good way to almost completely avoid it.,1,1
5660,somewhere,If he was just following him to make sure he didn't break into a house somewhere in the neighborhood,1,0.6
4973,about,*aka - the post in which I pull an SBP-type posting*Backstory: Typically we pick up DD from daycare on the later end - about 5pm give or take 10 minutes.,1,0.8
402,think,"I don't think that anyone has killed it in the debates.""""",1,1
5775,some,I have some good news!,0,0.6
3633,might,This next bit might sound a bit mean,1,1
1181,about,Yes our college library had about four books on the Conservatives and about four hundred on the Labour Party.,1,0.6
915,almost,Now my mum is almost taking advantage,1,0.8
3284,some,I'm seeking some Will advice that may get a bit complicated here but bare with me.,0,0.6
1471,a bit,Quite a bit higher than the 75 cent ones.,1,1
5260,about,A relationship should be about give and take,0,0.8
4567,may,It may be that Chirac wants to prevent religious violence before it starts.,1,1
3788,I mean,I mean seriously Clinton was 100X better than W. Bush and Obama.,1,0.8
918,feel,I just feel like she does not understand that I am almost supporting everyone right now.,1,0.6
4497,a few,They took DH's bag (which they found dumped a few streets away) and said they would forensically test it,1,0.8
4749,could,My brother kept him in his own place for as long as he could but eventually,0,0.8
3598,general,Ladbrokes said the Conservatives have been cut from 4/6 to 4/7 to win the next general election,1,1
3174,about,I am about to turn 30,1,0.8
3313,much,Any advice is very much welcome!,0,0.6
4182,could,If only we could make the leaders look right into the eyes of every civilian they kill,0,0.6
3941,remember,I remember in the Fifties conservatives did not want flouride added to the water because flouride turned people into communists.,0,0.8
2857,find,I used to skate to the store or for exercise nearly every day before I moved to Madison--from a place where I could roll out the door with my skates on knowing I'd find a safe and efficient route to just about anywhere.,0,1
1154,necessarily,In the future farming will become an endeavor of the highly educated (not necessarily degrees,1,1
5956,fair,A fair enough question,0,0.8
1179,hear,It's good reading the same events in all their books...you hear a different perspective each time.,1,0.6
1613,about,People are facing choices about whether to ruin their lives - or potentially lose their lives.,0,0.8
4553,might,Sending lots of love xIt might be an idea to see your GP as a matter of some urgency.,0,0.6
3176,really,I think if I really knuckled down and saved and scrimped and lived a very meagre life,1,0.6
5506,maybe,"When she was maybe 16 months old she said it was red and ""hot"".""""",1,1
3579,really,The Gravy Train really is all out of gravy.,0,0.6
6407,a few,Feeding a few people now is not going to fix any of this reality.,1,0.8
2057,like,And depending on which way the American election goes American support may not be forthcoming if someone like Ron Paul gets electedI know,1,1
3132,know,I don't know if one blocks it out,1,0.6
2225,consider,"The Country did well in terms of setting the foundation for what has lasted so far almost 240 years BECAUSE they subscribed to the things I believe and those whom morons like YOU consider hacks believe.""""",1,0.6
5787,about,My mum had a go at me about curtains a few weeks back.This makes me think if i tell them something medical she will blame me for it,0,0.8
3287,fairly,I was on fairly good terms with him and was out there with my sister when it happened.,1,1
2463,about,Another was from about 5 different countries.,1,1
6359,a bunch,TaliwillowAre there any flowers which in your mind connect the pair of you - for example if he used to call you buttercup then your grandmother would probably find a bunch of buttercups a nicer,0,1
6422,about,I'm not just talking about accumulated wealth.,0,1
6693,kind of,That was kind of rude.,1,1
6996,like,I like the ideas that Jody and Sugarspun have mentioned.,0,0.8
4213,completely,I sympathise completely,0,1
2083,expect,I dont make major investments withough speaking to him and I expect the same respect from him.,0,1
1923,really,For all the hype it has really led nowhere in particular,1,0.8
5572,feel,"It's not a protest for peace; it's making themselves feel good and playing politics.""",0,1
7420,some,I also can't wear too cushioned soles - as I've found out by buying some very expensive walking shoes - my feet seem to be attempting to break with those.,1,0.6
4669,possible,Claim: Powell claimed that Iraq had purchased special aluminum tubes whose only possible use was in uranium enrichment centrifuges.,0,0.8
7081,might,It might hurt a little initially,1,1
3032,like,I have been feeling like the death of the Roadmap would be a catalyst to increased violence,1,1
4004,look like,The entire Bush Cabinet is starting to look like an Image Awards telecast minus the fisticuffs and gunplay.,1,0.8
3414,about,I know absolutely nothing about this kid who is now in charge.,0,0.8
33,some,ie there are some that have less than average.,0,0.6
1507,about,They keep talking about the huge deficit in the Obama admin.,0,1
2896,about,The Royal Australian Air Force has placed a tentative order for 100 of the F-35 JSFs for about $16 billion,1,1
3699,most,MIL has come a few times - the most recent to specifically help out while I was in the hospital.,0,0.8
654,think,It's like they think they own the place.,1,1
7527,really,You are really tap-dancing around this issue.,0,0.6
5739,like,You and others like you have proven beyond all doubt that it is a waste of time to reply to liberal rants.,1,1
245,about,Maybe before complaining about immigrants not speaking English,0,0.8
321,most,In late 60s - early 70s it was among the most progressivecountries in Islamic world with a broadly popular Communist party which led a socialist revolution therein 1978.,0,0.8
2786,seem,Things seem much calmer now but you never know.,1,0.8
471,about,Who cares what the INTENT of the European explorers were...this is about the EFFECT.,0,1
1029,should,The rally should be peaceful unless security forces attempt to disperse the group,1,0.8
3490,about,Went to see CAB today to find out about seeing a solicitor to start the divorce rolling.,0,1
6140,might,But Morocco is a very diverse place and things that might be true in one region might not be true in another.,1,0.8
2284,about,I was not able to work when I was in the hospital and was only getting about 1000 dollars in retirement pay,1,1
262,feel,It may be good for the economy but it is not fair on those who feel the brunt end of fierce competition for jobs,0,1
4560,sure,I'm sure your children are worried about you and i'm sure they'd appreciate you telling them how you're feeling,1,0.7
7437,believe,I am not sure (will check with father tomorrow if he remembers) but I believe that my first memory dates from approx.,1,1
1933,possible,Since communication between space-like separated objects is not possible they can be said to be outside the universe (for those objects that have that separation with them).,0,1
5796,might,re curtains-'Passers by might not like the way it looks'.I dont give a f*** about what other people like the look of,1,0.8
965,sure,I'm not sure about any of those.,1,1
5289,suggest,You might also try posting on the benefits board here to see if anyone can suggest any routes for you.,1,0.6
5357,a bit,I could probably afford to get much better cars than the ones I drive if I got them on finance as we have quite a bit more coming in every month than going out but the wife won't entertain finance so I have to buy them outright and there are too many bargains to pass up at the insurance auctions.,1,0.8
1071,may,It may not be the case,1,1
1779,a couple,Sounds a lot like what Evan Bayh said a couple of years ago.,1,0.8
5747,could,Or we could poke sharp sticks in our eyes.,0,0.6
6705,I mean,I mean not even everyone in HK is a British national - only a proportion of the population are.,1,0.8
5854,some,We have some temps that make great money with us.,1,0.8
5170,about,It is about freedom of choice.,0,1
4203,know,but at least i'll have peace of mind that he's ok. i just don't know what to do for the best!,0,0.8
7276,some,I've seen some debates where Krugman's opponent had him practically in tears.,1,0.6
6498,know,Police are convinced that there are people who know something,0,1
6683,about,After asking about 5 times on what I could bring she finally told me pumpkin pie because she was making everything else.,1,1
262,fair,It may be good for the economy but it is not fair on those who feel the brunt end of fierce competition for jobs,0,0.8
