@relation AnnaHedgeData
@attribute pos0 numeric
@attribute pos1 numeric
@attribute pos2 numeric
@attribute pos3 numeric
@attribute pos4 numeric
@attribute pos5 numeric
@attribute pos6 numeric
@attribute pos7 numeric
@attribute pos8 numeric
@attribute pos9 numeric
@attribute pos10 numeric
@attribute pos11 numeric
@attribute pos12 numeric
@attribute pos13 numeric
@attribute pos14 numeric
@attribute pos15 numeric
@attribute pos16 numeric
@attribute pos17 numeric
@attribute pos18 numeric
@attribute pos19 numeric
@attribute pos20 numeric
@attribute pos21 numeric
@attribute pos22 numeric
@attribute pos23 numeric
@attribute pos24 numeric
@attribute pos25 numeric
@attribute pos26 numeric
@attribute pos27 numeric
@attribute pos28 numeric
@attribute pos29 numeric
@attribute hedge {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}
@attribute sentencelength numeric
@attribute ratiolength numeric
@attribute pos-2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos-1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute position numeric
@attribute agreement numeric
@attribute judgment {1,0}


@data
0.11809,0.03633,0.02917,-0.01895,0.05445,-0.02417,0.04375,-0.06292,0.00209,0.06719,-0.01361,-0.0085,0.02016,0.00756,-0.08716,0.02057,-0.03664,-0.01315,-0.07538,0.0084,-0.05996,0.07182,-0.04123,0.00324,0.00407,-0.02284,-0.01005,-0.04889,-0.10161,-0.03821,most,4,0.0,START,START,RBS,NNS,VBP,0,1,1
0.03193,0.06464,-0.13298,0.09186,-0.12511,-0.06653,-0.05072,-0.0447,-0.07406,-0.14041,-0.00119,-0.05647,-0.21852,-0.07972,0.03315,0.17449,-0.07881,-0.09176,0.08766,-0.08329,-0.08064,-0.18796,0.27131,0.08926,0.09247,-0.00728,-0.00151,0.15477,0.07508,-0.06877,really,27,0.5555555555555556,VBD,RB,RB,VB,TO,15,1,1
0.11809,0.03633,0.02917,-0.01895,0.05445,-0.02417,0.04375,-0.06292,0.00209,0.06719,-0.01361,-0.0085,0.02016,0.00756,-0.08716,0.02057,-0.03664,-0.01315,-0.07538,0.0084,-0.05996,0.07182,-0.04123,0.00324,0.00407,-0.02284,-0.01005,-0.04889,-0.10161,-0.03821,most,10,0.5,VBP,DT,RBS,VBG,NN,5,0.6,0
0.24106,-0.00051,-0.01323,-0.04856,0.02539,0.02678,-0.02285,-0.07094,0.01387,-0.11219,-0.08207,0.02249,-0.02037,0.01296,0.02581,0.11855,-0.08166,-0.0188,-0.10084,-0.10262,-0.08323,-0.06679,0.08699,0.1029,-0.03654,0.03216,-0.12365,0.03636,-0.1266,-0.07454,some,22,0.45454545454545453,NN,IN,DT,JJ,NN,10,0.6,0
0.04218,0.07409,-0.09634,-0.0222,-0.08692,-0.01516,-0.03386,-0.03824,-0.0255,-0.04913,0.00865,-0.0942,-0.13241,-0.07988,-0.01722,0.09527,-0.05474,-0.06946,0.0733,-0.02553,-0.10326,-0.10877,0.1059,0.09834,0.08836,-0.03531,-0.02282,0.12326,-0.02692,-0.03298,may,7,0.2857142857142857,DT,NNS,MD,VB,VBN,2,1,1
0.0656,-0.03543,-0.01026,0.01317,0.01951,-0.02395,-0.0045,0.00834,-0.01302,0.0124,-0.00707,0.02136,-0.01382,-0.02754,0.01694,-0.00121,0.00459,0.01917,0.01009,0.00071,-0.01517,-0.00015,0.04089,-0.01413,-0.01952,0.00252,0.01924,-0.0094,-0.00839,-0.02366,hear,16,0.125,RB,PRP,VBP,DT,NN,2,0.8,0
0.03658,0.1262,-0.07114,0.09958,-0.04062,-0.08638,0.01315,-0.06991,-0.12214,0.03885,0.04842,-0.06526,-0.16979,-0.06112,-0.06523,0.05602,-0.05185,-0.04993,-0.00605,0.02855,-0.09863,-0.04611,0.07503,-0.0225,0.10074,-0.02787,0.09196,0.03388,0.01336,-0.08578,like,18,0.8333333333333334,DT,NN,IN,DT,.,15,1,1
0.02568,0.12676,-0.05434,-0.0339,-0.10975,0.03505,0.08906,-0.02535,-0.00298,-0.01856,0.06652,-0.10826,-0.0906,-0.04145,-0.08085,0.08023,-0.03006,-0.09687,0.05838,-0.00834,-0.07941,-0.03881,0.01131,0.10207,0.08161,-0.01909,-0.0075,0.08458,-0.05091,0.04361,about,28,0.2857142857142857,JJ,NNS,IN,DT,NN,8,1,0
0.03193,0.06464,-0.13298,0.09186,-0.12511,-0.06653,-0.05072,-0.0447,-0.07406,-0.14041,-0.00119,-0.05647,-0.21852,-0.07972,0.03315,0.17449,-0.07881,-0.09176,0.08766,-0.08329,-0.08064,-0.18796,0.27131,0.08926,0.09247,-0.00728,-0.00151,0.15477,0.07508,-0.06877,really,15,0.6,PRP,VBD,RB,PRP$,NN,9,1,1
0.01897,-0.02029,0.00136,0.01515,-0.01754,-0.02447,-0.03828,0.00012,0.0097,-0.00417,-0.00037,-0.00801,-0.00642,-0.00946,0.04309,-0.02839,0.02509,0.03243,0.03725,-0.00682,0.03227,-0.02647,0.04235,-0.0153,0.00809,0.00324,0.00367,0.01744,0.07432,0.03464,understand,12,0.4166666666666667,MD,RB,VB,NNS,TO,5,0.8,0
0.04721,0.01157,-0.00393,-0.00664,0.02634,0.00565,-0.01125,-0.01737,-0.00404,-0.00316,-0.02798,0.00156,-0.0425,-0.00936,-0.01031,0.00635,-0.02336,-0.0101,-0.0277,-0.00392,-0.0322,0.01374,0.01228,0.04112,-0.02634,-0.01932,-0.00271,0.00935,-0.05013,-0.04366,somewhere,33,0.5454545454545454,CC,VBP,RB,IN,DT,18,0.6,0
0.03658,0.1262,-0.07114,0.09958,-0.04062,-0.08638,0.01315,-0.06991,-0.12214,0.03885,0.04842,-0.06526,-0.16979,-0.06112,-0.06523,0.05602,-0.05185,-0.04993,-0.00605,0.02855,-0.09863,-0.04611,0.07503,-0.0225,0.10074,-0.02787,0.09196,0.03388,0.01336,-0.08578,like,16,0.5625,WDT,VBD,IN,DT,NN,9,1,1
0.24106,-0.00051,-0.01323,-0.04856,0.02539,0.02678,-0.02285,-0.07094,0.01387,-0.11219,-0.08207,0.02249,-0.02037,0.01296,0.02581,0.11855,-0.08166,-0.0188,-0.10084,-0.10262,-0.08323,-0.06679,0.08699,0.1029,-0.03654,0.03216,-0.12365,0.03636,-0.1266,-0.07454,some,13,0.23076923076923078,VBP,VBN,DT,IN,PRP$,3,0.8,0
0.24106,-0.00051,-0.01323,-0.04856,0.02539,0.02678,-0.02285,-0.07094,0.01387,-0.11219,-0.08207,0.02249,-0.02037,0.01296,0.02581,0.11855,-0.08166,-0.0188,-0.10084,-0.10262,-0.08323,-0.06679,0.08699,0.1029,-0.03654,0.03216,-0.12365,0.03636,-0.1266,-0.07454,some,16,0.5625,NNP,IN,DT,RB,VBD,9,0.6,0
0.01273,0.05237,-0.06225,-0.00378,-0.08476,0.01381,-0.04071,-0.02586,-0.0365,-0.09356,0.02819,-0.06607,-0.0881,-0.03629,0.04283,0.08982,-0.04945,-0.03097,0.07732,-0.06677,-0.01609,-0.12945,0.12233,0.06109,0.0817,0.00753,-0.02898,0.10707,0.0411,0.02076,could,11,0.09090909090909091,START,PRP,MD,RB,VB,1,0.8,0
0.24106,-0.00051,-0.01323,-0.04856,0.02539,0.02678,-0.02285,-0.07094,0.01387,-0.11219,-0.08207,0.02249,-0.02037,0.01296,0.02581,0.11855,-0.08166,-0.0188,-0.10084,-0.10262,-0.08323,-0.06679,0.08699,0.1029,-0.03654,0.03216,-0.12365,0.03636,-0.1266,-0.07454,some,33,0.30303030303030304,NN,VBG,DT,IN,DT,10,1,1
0.23894,-0.03511,0.02981,-0.11995,0.0301,-0.05134,-0.1677,-0.04799,-0.01237,-0.26118,-0.17358,0.15175,0.17633,0.12538,0.1473,0.22615,-0.26524,-0.08702,-0.43307,-0.17292,0.08523,-0.18546,0.26495,0.17886,-0.04543,0.11831,-0.18062,-0.22733,0.00303,0.02686,'a little',16,0.125,PRP,VBP,DT,NN,CC,2,1,0
0.03658,0.1262,-0.07114,0.09958,-0.04062,-0.08638,0.01315,-0.06991,-0.12214,0.03885,0.04842,-0.06526,-0.16979,-0.06112,-0.06523,0.05602,-0.05185,-0.04993,-0.00605,0.02855,-0.09863,-0.04611,0.07503,-0.0225,0.10074,-0.02787,0.09196,0.03388,0.01336,-0.08578,like,23,0.17391304347826086,VBD,VBN,IN,PRP,DT,4,1,1
0.01897,-0.02029,0.00136,0.01515,-0.01754,-0.02447,-0.03828,0.00012,0.0097,-0.00417,-0.00037,-0.00801,-0.00642,-0.00946,0.04309,-0.02839,0.02509,0.03243,0.03725,-0.00682,0.03227,-0.02647,0.04235,-0.0153,0.00809,0.00324,0.00367,0.01744,0.07432,0.03464,understand,10,0.1,START,PRP,VBP,PRP$,NN,1,0.8,0
0.11809,0.03633,0.02917,-0.01895,0.05445,-0.02417,0.04375,-0.06292,0.00209,0.06719,-0.01361,-0.0085,0.02016,0.00756,-0.08716,0.02057,-0.03664,-0.01315,-0.07538,0.0084,-0.05996,0.07182,-0.04123,0.00324,0.00407,-0.02284,-0.01005,-0.04889,-0.10161,-0.03821,most,35,0.5142857142857142,NN,:,JJS,IN,DT,18,1,1
0.02792,0.00377,-0.07488,0.07177,-0.03862,-0.05559,-0.06569,0.0222,-0.02224,-0.01105,0.01414,-0.01442,-0.11832,-0.04792,0.0208,0.04957,-0.01855,-0.00547,0.07786,0.01342,-0.03487,-0.05442,0.12583,0.01043,0.0439,-0.01375,0.03612,0.05063,0.0795,-0.03266,find,15,0.7333333333333333,CC,NN,VBP,CD,RB,11,0.8,0
0.29852,0.00408,-0.14418,0.23105,-0.22177,-0.11209,-0.11887,-0.00176,-0.16632,-0.09666,0.12825,-0.09577,-0.18805,-0.10767,0.15351,0.03686,0.02162,0.01202,0.30508,-0.05706,0.0619,-0.26524,0.31036,-0.04008,0.18939,0.03556,0.12075,0.23456,0.40901,0.01734,think,17,0.23529411764705882,TO,RB,VB,IN,NN,4,0.6,0
0.25658,-0.00053,-0.167,0.19906,-0.24706,-0.0865,-0.11864,0.04644,-0.05594,-0.13905,0.10358,-0.10144,-0.23931,-0.11586,0.16378,0.09421,0.03549,-0.0424,0.32828,-0.0752,0.05772,-0.23868,0.28993,0.00721,0.17768,0.05987,0.08046,0.21763,0.33554,0.03255,know,7,0.42857142857142855,VBP,RB,VB,IN,PRP,3,0.8,1
0.29852,0.00408,-0.14418,0.23105,-0.22177,-0.11209,-0.11887,-0.00176,-0.16632,-0.09666,0.12825,-0.09577,-0.18805,-0.10767,0.15351,0.03686,0.02162,0.01202,0.30508,-0.05706,0.0619,-0.26524,0.31036,-0.04008,0.18939,0.03556,0.12075,0.23456,0.40901,0.01734,think,24,0.125,VBD,RB,VB,PRP,VBD,3,1,1
0.04218,0.07409,-0.09634,-0.0222,-0.08692,-0.01516,-0.03386,-0.03824,-0.0255,-0.04913,0.00865,-0.0942,-0.13241,-0.07988,-0.01722,0.09527,-0.05474,-0.06946,0.0733,-0.02553,-0.10326,-0.10877,0.1059,0.09834,0.08836,-0.03531,-0.02282,0.12326,-0.02692,-0.03298,may,27,0.07407407407407407,DT,NN,MD,VB,NNP,2,1,1
0.06077,0.02114,-0.03131,0.02204,0.01183,-0.00486,-0.01356,-0.01885,-0.02317,-0.01958,-0.00871,0.0065,-0.07007,-0.00233,-0.01777,0.04301,-0.04964,-0.01476,-0.01021,-0.03381,-0.06701,-0.01594,0.05407,0.02986,0.00276,0.0037,-0.00779,0.00791,-0.04492,-0.06146,apparently,12,0.25,:,PRP,RB,VBZ,TO,3,1,1
0.01273,0.05237,-0.06225,-0.00378,-0.08476,0.01381,-0.04071,-0.02586,-0.0365,-0.09356,0.02819,-0.06607,-0.0881,-0.03629,0.04283,0.08982,-0.04945,-0.03097,0.07732,-0.06677,-0.01609,-0.12945,0.12233,0.06109,0.0817,0.00753,-0.02898,0.10707,0.0411,0.02076,could,21,0.5238095238095238,IN,PRP,MD,VB,IN,11,0.8,0
0.02792,0.00377,-0.07488,0.07177,-0.03862,-0.05559,-0.06569,0.0222,-0.02224,-0.01105,0.01414,-0.01442,-0.11832,-0.04792,0.0208,0.04957,-0.01855,-0.00547,0.07786,0.01342,-0.03487,-0.05442,0.12583,0.01043,0.0439,-0.01375,0.03612,0.05063,0.0795,-0.03266,find,66,0.3939393939393939,PRP,VBD,VB,PRP,JJ,26,1,1
0.01273,0.05237,-0.06225,-0.00378,-0.08476,0.01381,-0.04071,-0.02586,-0.0365,-0.09356,0.02819,-0.06607,-0.0881,-0.03629,0.04283,0.08982,-0.04945,-0.03097,0.07732,-0.06677,-0.01609,-0.12945,0.12233,0.06109,0.0817,0.00753,-0.02898,0.10707,0.0411,0.02076,could,41,0.024390243902439025,START,PRP,MD,VB,VBN,1,1,1
0.02568,0.12676,-0.05434,-0.0339,-0.10975,0.03505,0.08906,-0.02535,-0.00298,-0.01856,0.06652,-0.10826,-0.0906,-0.04145,-0.08085,0.08023,-0.03006,-0.09687,0.05838,-0.00834,-0.07941,-0.03881,0.01131,0.10207,0.08161,-0.01909,-0.0075,0.08458,-0.05091,0.04361,about,27,0.4074074074074074,VB,IN,IN,PRP,'\'\'',11,1,0
0.27916,-0.06703,0.03189,-0.141,0.06325,-0.02553,-0.1446,-0.06562,-0.00129,-0.25185,-0.16666,0.15703,0.20924,0.14972,0.13471,0.23967,-0.26113,-0.08104,-0.43754,-0.16383,0.09384,-0.15897,0.24075,0.16657,-0.07997,0.13332,-0.20579,-0.24002,-0.01686,0.00726,'a couple',10,0.5,JJ,VBD,DT,IN,NNS,5,1,1
0.03658,0.1262,-0.07114,0.09958,-0.04062,-0.08638,0.01315,-0.06991,-0.12214,0.03885,0.04842,-0.06526,-0.16979,-0.06112,-0.06523,0.05602,-0.05185,-0.04993,-0.00605,0.02855,-0.09863,-0.04611,0.07503,-0.0225,0.10074,-0.02787,0.09196,0.03388,0.01336,-0.08578,like,17,0.17647058823529413,MD,VB,IN,DT,JJ,3,0.8,1
0.30362,0.01417,0.05162,-0.11729,0.08914,-0.05629,-0.14223,-0.06531,-0.01685,-0.19837,-0.15672,0.16611,0.1632,0.14446,0.08996,0.2439,-0.28604,-0.06431,-0.53244,-0.1452,0.06154,-0.15789,0.1905,0.17014,-0.05364,0.09495,-0.16879,-0.30584,-0.1145,0.00969,'a few',18,0.2777777777777778,IN,RB,DT,IN,DT,5,0.8,1
0.0441,0.01346,-0.02978,0.01073,-0.04603,-0.02926,-0.01494,0.00477,-0.01064,-0.00961,0.00596,-0.02458,-0.08363,-0.02537,0.01426,0.04662,-0.02581,-0.02521,0.01318,0.00866,-0.02718,-0.04831,0.08075,0.01384,0.0148,0.00699,-0.01392,0.0246,-0.01144,-0.03187,probably,10,0.2,DT,MD,RB,VB,NN,2,1,1
0.08458,0.03026,0.00828,0.00447,0.01427,-0.00102,-0.01018,-0.0388,-0.02708,-0.02845,-0.01284,-0.02319,-0.02592,-0.01162,-0.01808,0.0468,-0.04192,-0.01894,-0.03713,-0.01684,-0.05505,-0.0363,0.03733,0.02876,0.00368,0.00379,-0.02511,0.01162,-0.05728,-0.03277,possible,23,0.13043478260869565,VBZ,RB,JJ,IN,PRP,3,1,1
0.01054,-0.00413,0.02383,0.0108,-0.0115,0.01067,-0.01002,-0.01249,0.00124,0.01506,0.0084,-0.00593,0.01501,0.02051,-0.00696,0.00246,0.01163,0.01882,0.01077,0.00029,0.01469,-0.01124,-0.02047,-0.00276,-0.00861,0.00719,-0.00072,0.01145,0.00069,-0.0131,totally,18,0.16666666666666666,PRP,VBP,RB,JJ,IN,3,1,0
0.03193,0.06464,-0.13298,0.09186,-0.12511,-0.06653,-0.05072,-0.0447,-0.07406,-0.14041,-0.00119,-0.05647,-0.21852,-0.07972,0.03315,0.17449,-0.07881,-0.09176,0.08766,-0.08329,-0.08064,-0.18796,0.27131,0.08926,0.09247,-0.00728,-0.00151,0.15477,0.07508,-0.06877,really,16,0.1875,PRP,MD,RB,VB,IN,3,0.6,1
0.02568,0.12676,-0.05434,-0.0339,-0.10975,0.03505,0.08906,-0.02535,-0.00298,-0.01856,0.06652,-0.10826,-0.0906,-0.04145,-0.08085,0.08023,-0.03006,-0.09687,0.05838,-0.00834,-0.07941,-0.03881,0.01131,0.10207,0.08161,-0.01909,-0.0075,0.08458,-0.05091,0.04361,about,30,0.26666666666666666,WDT,VBZ,IN,DT,JJ,8,1,1
0.02568,0.12676,-0.05434,-0.0339,-0.10975,0.03505,0.08906,-0.02535,-0.00298,-0.01856,0.06652,-0.10826,-0.0906,-0.04145,-0.08085,0.08023,-0.03006,-0.09687,0.05838,-0.00834,-0.07941,-0.03881,0.01131,0.10207,0.08161,-0.01909,-0.0075,0.08458,-0.05091,0.04361,about,6,0.8333333333333334,JJ,VBG,IN,STOP,STOP,5,1,0
0.00537,0.02812,-0.00512,0.01645,-0.01249,-0.01767,0.01132,-0.01415,-0.0136,-0.01041,-0.00121,0.00243,-0.02401,-0.01335,0.01718,0.02939,-0.01947,-0.00982,0.00671,-0.02696,-0.00237,-0.02791,0.02381,0.02306,-0.00588,-0.00605,-0.0013,0.0156,-0.01883,-0.01569,maybe,9,0.5555555555555556,:,CC,RB,PRP,VBZ,5,0.8,1
0.01273,0.05237,-0.06225,-0.00378,-0.08476,0.01381,-0.04071,-0.02586,-0.0365,-0.09356,0.02819,-0.06607,-0.0881,-0.03629,0.04283,0.08982,-0.04945,-0.03097,0.07732,-0.06677,-0.01609,-0.12945,0.12233,0.06109,0.0817,0.00753,-0.02898,0.10707,0.0411,0.02076,could,9,0.2222222222222222,DT,NNS,MD,VB,VBN,2,0.8,1
