@relation hedge

@attribute word {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}
@attribute POS_2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS_1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS_w {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute class {1,0}

@data
basic,DT,JJ,JJ,NN,NN,1
about,DT,VBZ,IN,DT,NN,0
could,NN,CC,MD,VB,VBN,1
about,VB,VBG,IN,PRP,.,0
should,IN,WP,MD,VB,VBN,0
think,JJ,PRP,VBP,PRP$,NN,1
think,MD,RB,VB,IN,CD,0
know,VBP,RB,VB,WRB,PRP$,1
about,PRP,VBZ,IN,NN,NN,0
should,IN,NNP,MD,VB,VBN,0
some,MD,VB,DT,NNS,IN,1
know,WRB,PRP,VBP,IN,PRP,1
about,START,WRB,RB,WRB,DT,0
find,WRB,PRP,VBP,DT,NN,1
about,VBD,VBG,RB,VBG,TO,0
somewhere,VBN,IN,RB,IN,DT,1
about,PRP,VBD,IN,VBG,DT,0
sometimes,-LRB-,CC,RB,NNS,-RRB-,0
might,START,PRP,MD,VB,PRP,1
'a few',NN,IN,DT,NNS,STOP,1
some,NN,IN,DT,NNS,-LRB-,1
most,RB,VBP,RBS,DT,JJ,1
may,JJ,NNS,MD,VB,VBN,1
may,NN,NNS,MD,VB,NN,1
imagine,NN,CC,VB,PDT,DT,0
'sort of',VBD,DT,NN,JJ,JJ,0
'kind of',VBZ,DT,NN,NN,TO,0
expect,NN,CC,VBP,NN,STOP,0
know,VBP,RB,VB,WP,VBD,1
probably,-RRB-,VBZ,RB,CD,STOP,1
may,START,PRP,MD,VB,DT,1
know,TO,PRP,VBP,FW,VBP,0
suppose,START,PRP,VBP,PRP,MD,1
read,START,PRP,VBP,IN,DT,0
know,RB,RB,VB,WP,VBZ,1
about,DT,JJ,IN,DT,NN,0
think,START,PRP,VBP,NNS,IN,1
probably,START,PRP,RB,VBP,CD,1
about,NNP,VBZ,RB,CD,CD,1
about,PRP,VBD,IN,VBG,JJ,0
read,START,NNS,VBP,DT,JJ,0
about,CC,VBZ,IN,PRP,:,1
'so far',RB,VBN,RB,IN,TO,1
most,PRP,VBP,JJS,IN,DT,1
like,RB,VBP,IN,PRP$,RB,1
about,JJ,NN,IN,DT,NN,0
think,MD,RB,VB,IN,VBG,1
some,RB,RB,DT,JJ,NN,0
'sort of',IN,DT,NN,NN,IN,0
really,RB,NN,RB,STOP,STOP,1
like,PRP,MD,VB,TO,VB,0
seem,VBZ,RB,VB,RB,JJ,1
really,VBP,RB,RB,VB,DT,1
about,DT,VBG,IN,VBG,DT,0
expect,PRP,MD,VB,IN,VBN,0
think,MD,RB,VB,IN,CD,0
possible,VBD,VBN,JJ,IN,NNS,0
about,DT,NN,IN,DT,CD,1
about,NN,IN,IN,NN,.,1
'a bit',NNS,VBP,DT,IN,NN,1
about,PRP$,NN,IN,PRP,CC,0
totally,START,PRP,RB,VBP,.,0
somewhere,NNS,VBG,RB,IN,DT,1
think,IN,PRP,VBP,PRP,VBZ,1
could,VBD,NNS,MD,VB,RB,1
believe,VBP,NNS,VB,IN,JJ,0
some,RB,IN,DT,NN,.,0
like,PRP,VBP,IN,DT,JJ,1
some,TO,VB,DT,NN,IN,1
some,PRP,IN,DT,NNS,-RRB-,1
possible,VBD,PRP,JJ,IN,PRP,0
could,START,LS,MD,RB,VB,1
feel,IN,PRP,VBP,DT,NN,1
perhaps,PRP,MD,RB,VB,IN,1
about,PRP,VBD,IN,VBG,PDT,0
really,VBD,RB,RB,VB,IN,1
feel,VB,PRP,VB,JJ,.,0
think,START,LS,VB,DT,JJ,1
about,VBD,VBG,IN,JJ,NN,0
probably,IN,PRP,RB,VBZ,RB,1
really,VBZ,RB,RB,JJ,CC,1
maybe,START,START,RB,NNS,JJ,1
'a few',VB,IN,DT,JJR,IN,1
some,NN,VBZ,DT,NN,NNS,1
think,START,PRP,VBP,NNP,MD,1
basically,JJ,NNS,RB,VBP,RP,1
think,VBP,RB,VB,IN,NN,1
like,PRP,MD,VB,TO,VB,0
feel,PRP,RB,VBP,IN,PRP,0
sure,TO,VB,JJ,IN,DT,0
know,FW,FW,VBP,WP,PRP$,1
'pretty much',NN,VBZ,RB,DT,JJ,1
think,START,PRP,VBP,PRP,VBZ,1
'sort of',VBZ,DT,NN,NN,IN,1
may,JJ,NNS,MD,VB,NN,1
really,VBP,RB,RB,VB,WP,0
'a bit',MD,VB,DT,VBN,RB,1
'a little',NNS,VBP,DT,RBR,JJ,1
about,IN,NNP,IN,CD,NNS,1
most,RB,VB,RBS,NNS,VBP,1
like,IN,NNS,IN,PRP,STOP,1
could,VBP,PRP,MD,RB,VB,0
'a little',PRP,VBD,DT,JJ,NN,0
seem,PRP,VBZ,VB,DT,IN,1
really,VBP,RB,RB,VBN,.,1
think,PRP,VBP,VB,DT,NN,1
some,VBZ,RB,DT,JJ,NN,0
some,MD,VB,DT,NN,IN,1
like,IN,NNS,IN,PRP,MD,1
think,START,PRP,VBP,PRP,VB,1
much,PRP,VBP,RB,RB,RB,0
like,VBZ,NNS,IN,PRP,VBP,1
should,NNP,NN,MD,VB,PRP,0
some,PRP,VB,DT,NN,TO,0
like,NNS,VBP,IN,STOP,STOP,1
some,VBN,IN,DT,NN,IN,0
think,START,PRP,VBP,PRP,VBP,1
about,VBD,NNS,IN,DT,NN,0
most,JJS,CC,RBS,JJ,NNS,0
like,VBD,NN,IN,VBD,JJ,1
think,CC,PRP,VBP,PRP,MD,1
several,NNS,VBD,JJ,CC,DT,1
most,VBZ,DT,RBS,JJ,NN,0
may,JJ,NN,MD,RB,VB,1
several,MD,IN,JJ,NNS,.,1
about,VBD,RB,IN,JJ,NN,0
about,NN,VBD,IN,CD,NNS,1
read,NN,WP$,VB,DT,JJ,0
think,NN,PRP,VBP,PRP,VBP,1
think,START,PRP,VBP,PRP,VBD,1
might,DT,NN,MD,VB,NNP,1
find,START,PRP,VBP,PRP,JJ,1
think,PRP,VBP,VB,PRP,MD,1
like,START,VB,IN,NN,.,1
much,CC,VBD,RB,RBR,RB,0
unlikely,NNS,VBP,JJ,TO,PRP,1
should,IN,PRP,MD,VB,STOP,0
'in my opinion',DT,VBZ,IN,RB,JJ,1
fair,PRP,VBZ,JJ,TO,VB,0
propose,PRP,MD,VB,IN,NNP,1
about,JJ,IN,IN,NN,VBG,0
hear,-RRB-,MD,VB,IN,PRP,0
most,VBD,DT,RBS,JJ,NN,0
'a few',VBP,VBD,DT,NNS,WDT,1
about,TO,VB,IN,PRP,RB,0
should,:,WRB,MD,PRP,VB,0
know,RB,RB,VB,NN,IN,0
'a few',VBP,IN,DT,NNS,CC,1
think,VBP,RB,VB,PRP$,IN,1
know,START,PRP,VBP,IN,VBZ,1
maybe,START,CC,RB,PRP,VBD,1
some,EX,IN,DT,IN,DT,1
several,NNS,VBD,JJ,CC,DT,1
like,RB,PRP,VBP,TO,VB,0
should,JJ,NNS,MD,RB,VB,0
about,DT,JJ,IN,PRP$,VBN,0
think,CC,PRP,VBP,IN,DT,1
read,START,PRP,VBP,DT,RB,0
totally,RB,CC,RB,VBP,.,0
believe,START,PRP,VBP,DT,TO,1
most,PRP,DT,RBS,IN,DT,0
really,IN,PRP,RB,MD,VB,1
basic,VBD,DT,JJ,NNS,IN,0
could,IN,NNP,MD,RB,VB,0
much,VB,RB,RB,IN,DT,1
about,DT,JJS,IN,WP,PRP,0
often,NNS,POS,RB,VBN,-LRB-,1
often,CD,RB,RB,IN,PRP,1
some,TO,VB,DT,NNS,IN,1
about,TO,VB,IN,DT,NN,0
'I mean',START,START,PRP,NN,IN,1
know,START,PRP,VBP,IN,NN,0
some,RP,IN,DT,NN,IN,0
someone,NN,WRB,NN,VBZ,NN,1
about,VBD,RBR,IN,PRP$,NN,0
much,START,RB,RB,IN,DT,0
think,START,PRP,VBP,PRP,MD,1
think,START,PRP,VBP,PRP$,JJ,1
should,NN,IN,MD,VB,VBN,0
like,DT,NNS,IN,PRP,VBD,1
'sort of',PRP,VBP,NN,IN,DT,1
somewhere,DT,NN,RB,IN,DT,1
about,NN,:,IN,JJ,VBP,1
think,VBP,RB,VB,IN,NN,1
some,PRP,VBP,DT,JJ,NN,0
might,JJ,NN,MD,VB,DT,1
about,NN,VBD,IN,CD,NNS,1
almost,NN,VBZ,RB,VBG,NN,1
some,VBP,VBG,DT,MD,NN,0
'a bit',START,RB,DT,JJR,IN,1
about,MD,VB,IN,VB,CC,0
may,START,PRP,MD,VB,IN,1
'I mean',START,START,PRP,RB,NNP,1
feel,PRP,RB,VBP,IN,PRP,1
'a few',VBD,VBD,DT,NNS,RB,1
could,IN,PRP,MD,CC,RB,0
general,DT,JJ,JJ,NN,STOP,1
about,PRP,VBP,IN,TO,VB,1
much,VBZ,RB,JJ,JJ,.,0
could,RB,PRP,MD,VB,DT,0
remember,START,PRP,VBP,IN,DT,0
find,PRP,MD,VB,DT,JJ,0
necessarily,-LRB-,RB,RB,NNS,STOP,1
fair,START,DT,JJ,JJ,NN,0
hear,:,PRP,VBP,DT,JJ,1
about,VBG,NNS,IN,IN,TO,0
might,NN,NN,MD,VB,DT,0
really,IN,PRP,RB,VBD,RB,1
maybe,PRP,VBD,RB,CD,NNS,1
really,NNP,NNP,RB,VBZ,DT,0
'a few',START,NNP,DT,NNS,RB,1
like,IN,NN,IN,NNP,NNP,1
know,VBP,RB,VB,IN,CD,1
consider,IN,PRP,VBP,NNS,VB,1
about,IN,PRP,IN,NNS,DT,0
fairly,VBD,IN,RB,JJ,NNS,1
about,VBD,IN,IN,CD,JJ,1
'a bunch',RB,VB,DT,IN,NNS,0
about,RB,VBG,IN,VBN,NN,0
'kind of',DT,VBD,NN,JJ,.,1
like,START,PRP,VBP,DT,NNS,0
completely,PRP,VBP,RB,STOP,STOP,0
expect,CC,PRP,VBP,DT,JJ,0
really,PRP,VBZ,RB,VBN,RB,1
feel,VBG,PRP,VB,JJ,CC,0
some,IN,VBG,DT,RB,JJ,1
possible,WP$,JJ,JJ,NN,VBD,0
might,START,PRP,MD,VB,DT,1
like,VBN,VBG,IN,DT,NN,1
'look like',VBG,TO,VB,DT,NN,1
about,RB,NN,IN,DT,NN,0
some,EX,VBP,DT,WDT,VBP,0
about,VBP,VBG,IN,DT,JJ,0
about,NNP,IN,RB,$,CD,1
most,:,DT,RBS,JJ,TO,0
think,IN,PRP,VBP,PRP,VB,1
really,PRP,VBP,RB,JJ,IN,0
like,CC,NNS,IN,PRP,VBP,1
about,IN,VBG,IN,NNS,RB,0
most,IN,DT,RBS,NNS,IN,0
seem,START,NNS,VBP,RB,JJR,1
about,DT,VBZ,IN,DT,NN,0
should,DT,NN,MD,VB,JJ,1
about,VB,RP,IN,VBG,DT,0
might,NNS,WDT,MD,VB,JJ,1
about,RB,VBG,IN,CD,NNS,1
feel,DT,WP,VBP,DT,NN,0
sure,PRP,VBP,JJ,PRP$,NNS,1
believe,CC,PRP,VBP,IN,PRP$,1
possible,VBZ,RB,JJ,PRP,MD,0
might,NNPS,IN,MD,RB,VB,1
sure,VBP,RB,JJ,IN,DT,1
suggest,NN,MD,VB,DT,NNS,1
'a bit',VBP,RB,DT,RBR,JJ,1
may,START,PRP,MD,RB,VB,1
could,CC,PRP,MD,VB,JJ,0
'I mean',START,START,PRP,RB,RB,1
some,PRP,VBP,DT,NNS,WDT,1
about,PRP,VBZ,IN,NN,IN,0
know,VBP,RB,VB,WP,TO,0
some,VBP,VBN,DT,NNS,WRB,1
know,NNS,WP,VBP,NN,STOP,0
about,IN,VBG,IN,CD,NNS,1
fair,VBZ,RB,JJ,IN,DT,0
like,NNS,VBG,IN,NNS,.,1
think,:,PRP,VBP,PRP$,NN,1
feel,PRP,MD,VB,VBN,.,0
think,START,PRP,VBP,IN,DT,1
most,VBZ,DT,JJS,NN,IN,0
could,WRB,PRP,MD,VB,RP,0
should,IN,WP,MD,VB,VBN,0
may,DT,NNS,MD,VB,RB,1
like,VBP,NNS,IN,IN,NN,1
like,START,VBZ,IN,NNP,VBZ,1
totally,TO,NN,RB,JJ,IN,0
basically,START,START,RB,PRP,VBP,1
assume,START,LS,VB,DT,IN,1
could,IN,PRP,MD,VB,PRP,0
understand,:,PRP,VBP,RB,VBG,0
could,POS,NN,MD,VB,RB,1
really,NN,WDT,RB,VBD,PRP,0
like,VBN,NN,IN,DT,:,1
about,RB,JJ,IN,DT,NN,1
about,JJ,JJ,IN,NN,:,1
'pretty much',VBZ,IN,RB,VBD,.,1
some,NN,CC,DT,JJ,NNS,0
like,PRP,DT,IN,CC,PRP,0
consider,PRP,MD,VB,NNP,TO,1
think,START,PRP,VBP,PRP,VB,1
could,DT,JJ,MD,VB,PRP,0
like,DT,NN,IN,NNPS,WRB,1
about,-LRB-,VBG,IN,JJ,VBZ,0
about,MD,VB,IN,NN,RB,0
could,POS,NN,MD,VB,VBG,1
like,IN,PRP,VBP,PRP,JJR,0
know,PRP,RB,VBP,DT,NN,0
find,MD,RB,VB,NN,IN,0
about,DT,NN,IN,DT,NN,0
could,VBP,PRP,MD,VB,PRP$,0
about,VBN,VBG,IN,JJ,NN,0
several,MD,VB,JJ,NNS,IN,1
may,NN,PRP,MD,VB,NN,1
feel,PRP,MD,VB,DT,JJ,0
know,PRP,MD,VB,NN,IN,0
some,VBN,PRP$,DT,NNS,WDT,0
really,VBZ,RB,RB,DT,JJ,1
could,-RRB-,CC,MD,RB,VB,0
seem,DT,NNS,VBP,TO,VB,1
'a few',RB,VBD,DT,NNS,-RRB-,1
seem,START,PRP,VBP,TO,VB,1
seem,VB,NN,VBP,RBR,VBN,1
really,PRP,VBP,RB,RB,JJ,1
find,LS,RB,VBP,PRP,IN,1
might,START,PRP,MD,VB,IN,1
like,PRP,VBZ,IN,IN,DT,1
about,NN,JJ,IN,PRP$,NNS,0
probably,PRP,VBP,RB,VBN,PRP,1
necessarily,VBZ,RB,RB,VB,TO,1
feel,PRP,RB,VBP,IN,PRP$,1
know,VBP,RB,VB,WP,TO,1
almost,PRP,VBP,RB,RB,JJ,1
believe,RB,JJ,VBP,PRP,PRP,0
most,NN,VBD,JJS,IN,DT,1
some,VB,VB,DT,JJ,NN,0
some,NN,IN,DT,JJ,NN,0
may,VBP,NNP,MD,VB,RBR,1
'kind of',PRP,VBZ,NN,JJ,TO,1
like,RB,VB,IN,PRP,VBZ,1
usually,IN,NNS,RB,VBP,STOP,1
about,VB,NN,IN,NN,NN,0
'a couple',JJ,IN,DT,IN,NNS,1
most,VBP,RB,RBS,RB,WRB,0
hear,START,PRP,VBP,DT,NNS,1
feel,IN,PRP,VBP,IN,IN,1
like,VBZ,NNS,IN,PRP,VBP,1
about,RB,VBG,IN,WRB,JJ,0
most,IN,DT,RBS,JJ,NN,0
think,PRP,MD,VB,IN,CC,1
seem,NN,WP,VBP,TO,VB,1
about,RB,VBN,IN,JJ,NN,0
like,DT,NN,IN,NNP,VBZ,1
could,START,PRP,MD,RB,VB,0
sure,TO,VB,JJ,PRP,VBD,1
know,START,PRP,VBP,WP,PRP,0
about,IN,NNS,IN,NN,NNS,0
should,VB,PRP,MD,VB,TO,0
think,PRP,MD,VB,IN,VBG,0
remember,MD,RB,VB,DT,JJ,0
might,NN,PRP,MD,VB,PRP$,1
about,VBZ,NN,IN,PRP,:,0
mostly,WP,VBD,RB,NNS,CC,1
consider,START,PRP,VBP,IN,DT,1
like,CC,NNS,IN,PRP,DT,1
like,WRB,NNS,IN,PRP,CC,1
probably,NNS,PRP,RB,VBD,:,1
think,START,PRP,VBP,PRP,VBP,1
like,VBP,RB,VB,DT,NN,0
know,START,PRP,VBP,WP,:,0
really,CC,DT,RB,VBZ,CC,0
seem,VBP,RB,VB,TO,VB,1
seem,VBZ,RB,VB,TO,VB,1
apparently,NN,VBZ,RB,VBG,IN,1
about,PRP,VBD,IN,DT,JJ,0
much,VBZ,RB,JJ,NN,TO,0
almost,CC,IN,RB,DT,NNS,1
could,START,WRB,MD,PRP,VB,1
believe,VBP,RB,VB,PRP,STOP,0
like,START,VBZ,IN,DT,NNPS,1
about,VB,JJ,IN,PRP$,NNS,0
some,PRP,VBP,DT,NNS,WDT,1
think,VBZ,PRP,VB,IN,FW,1
should,DT,NN,MD,WRB,PRP,0
know,VB,TO,VB,JJR,:,0
'a bunch',NN,VBD,DT,IN,JJ,1
could,IN,PRP,MD,VB,PRP,0
should,CC,FW,MD,RB,VB,0
think,START,PRP,VBP,PDT,DT,1
know,:,FW,VBP,WP,NN,0
much,MD,IN,JJ,NN,.,1
much,VBG,RB,RB,DT,NN,0
may,START,PRP,MD,VB,VBN,1
think,VBZ,PRP,VBP,PRP,MD,1
like,:,NNS,IN,PRP,NN,1
most,VBP,IN,JJS,NNS,MD,1
really,NN,VBZ,RB,JJ,TO,0
believe,NN,PRP,VBP,VBD,DT,1
about,DT,VBZ,IN,DT,NN,0
'and all that',JJ,JJ,CC,STOP,STOP,1
sure,VBP,RB,JJ,-LRB-,MD,1
much,VBP,RB,JJ,NN,.,1
know,PRP,DT,VBP,WRB,DT,1
really,IN,PRP$,RB,NN,IN,1
much,MD,VB,JJ,VBN,.,0
should,START,CC,MD,DT,NN,0
guess,START,PRP,VBP,DT,VBZ,1
know,VBD,RB,VB,DT,NN,0
possible,VBZ,RB,JJ,DT,NN,1
know,VBP,RB,VB,WP,PRP,0
some,RB,RB,DT,JJ,JJ,0
may,IN,PRP,MD,VB,DT,1
read,VBP,RB,VB,PRP,.,0
think,START,LS,VB,PRP$,JJ,1
think,WRB,NNS,VBP,IN,DT,1
find,MD,RB,VB,DT,NN,1
sure,VBP,RB,JJ,DT,NN,1
most,START,PRP$,RBS,JJ,JJ,0
about,PRP,VBZ,IN,NN,CC,0
most,FW,VB,RBS,JJ,VBZ,1
about,PRP$,NN,IN,PRP,.,0
sure,PRP,VBP,JJ,PRP,VBD,1
nearly,VBD,DT,RB,$,CD,1
think,START,PRP,VBP,IN,DT,1
seem,START,PRP,VBP,TO,VB,1
understand,PRP,RB,VBP,DT,PRP,0
think,DT,NN,VBP,IN,EX,1
about,PRP,VBD,IN,DT,NN,0
find,START,PRP,VBP,PRP,JJ,1
much,RB,RB,JJ,IN,PRP,0
might,WRB,DT,MD,VB,VBN,1
like,RB,RB,IN,DT,JJ,1
really,FW,FW,RB,JJ,.,1
may,IN,PRP,MD,VB,NN,1
about,IN,VBG,IN,DT,JJ,0
much,TO,VB,RB,IN,DT,1
someone,NN,IN,NN,WDT,JJ,0
should,IN,NNS,MD,VB,PRP$,0
somewhere,NN,NN,RB,RB,CC,0
like,VB,NNS,IN,NNPS,CC,1
'a little',PRP,VBZ,DT,NN,TO,1
could,NNS,WDT,MD,VB,NN,1
'sort of',DT,JJ,NN,NN,NN,0
feel,VBZ,PRP,VB,DT,JJ,0
some,RB,IN,DT,WP,MD,1
think,START,PRP,VBP,PRP,VBZ,1
think,NNS,WP,VBP,RB,IN,1
think,START,PRP,VBP,NNP,VBD,1
perhaps,NNP,VBP,RB,RB,DT,1
think,START,PRP,VBP,DT,NN,1
about,VBD,NN,IN,DT,NNP,0
read,PRP,MD,VB,IN,DT,0
about,PRP,VBP,IN,PRP,CC,0
remember,PRP,RB,VBP,DT,NN,0
several,NN,VBD,JJ,JJ,NNS,1
might,DT,JJ,MD,VB,JJ,1
like,PRP,VBZ,IN,VBG,IN,1
think,VBP,RB,VB,RB,.,1
could,NNS,PRP,MD,VB,RB,0
know,PRP,MD,VB,RBR,IN,0
about,NNP,IN,IN,CD,NN,1
feel,VBP,PRP,VB,JJR,.,0
know,IN,PRP,VBP,DT,NNPS,0
'kind of',PRP,VBZ,NN,JJ,CC,1
like,VBZ,RB,VB,IN,PRP$,1
like,PRP,NNS,IN,PRP,.,0
