@relation AnnaHedgeData

@attribute hedge {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}

@attribute pos-2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos-1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute position numeric
@attribute agreement numeric
@attribute judgment {1,0}

@data
think,JJ,PRP,VBP,PRP$,NN,16,1,1
think,MD,RB,VB,IN,CD,4,0.8,0
know,VBP,RB,VB,WRB,PRP$,3,0.8,1
about,PRP,VBZ,IN,NN,NN,14,0.8,0
should,IN,NNP,MD,VB,VBN,13,1,0
some,MD,VB,DT,NNS,IN,17,0.6,1
know,WRB,PRP,VBP,IN,PRP,4,0.8,1
about,START,WRB,RB,WRB,DT,1,0.8,0
find,WRB,PRP,VBP,DT,NN,33,0.6,1
about,VBD,VBG,RB,VBG,TO,6,0.8,0
somewhere,VBN,IN,RB,IN,DT,7,0.6,1
about,PRP,VBD,IN,VBG,DT,4,1,0
sometimes,-LRB-,CC,RB,NNS,-RRB-,35,0.8,0
might,START,PRP,MD,VB,PRP,1,1,1
'a few',NN,IN,DT,NNS,STOP,6,1,1
some,NN,IN,DT,NNS,-LRB-,10,0.8,1
most,RB,VBP,RBS,DT,JJ,3,0.8,1
may,JJ,NNS,MD,VB,VBN,21,1,1
may,NN,NNS,MD,VB,NN,4,1,1
imagine,NN,CC,VB,PDT,DT,9,1,0
'sort of',VBD,DT,NN,JJ,JJ,9,1,0
'kind of',VBZ,DT,NN,NN,TO,4,0.8,0
expect,NN,CC,VBP,NN,STOP,10,1,0
know,VBP,RB,VB,WP,VBD,4,0.6,1
probably,-RRB-,VBZ,RB,CD,STOP,14,0.6,1
may,START,PRP,MD,VB,DT,1,1,1
know,TO,PRP,VBP,FW,VBP,23,1,0
suppose,START,PRP,VBP,PRP,MD,1,0.8,1
read,START,PRP,VBP,IN,DT,1,0.6,0
know,RB,RB,VB,WP,VBZ,4,0.8,1
about,DT,JJ,IN,DT,NN,22,1,0
think,START,PRP,VBP,NNS,IN,1,0.8,1
probably,START,PRP,RB,VBP,CD,1,1,1
about,NNP,VBZ,RB,CD,CD,7,1,1
about,PRP,VBD,IN,VBG,JJ,10,1,0
read,START,NNS,VBP,DT,JJ,1,1,0
about,CC,VBZ,IN,PRP,:,2,0.6,1
'so far',RB,VBN,RB,IN,TO,4,0.8,1
most,PRP,VBP,JJS,IN,DT,9,0.8,1
like,RB,VBP,IN,PRP$,RB,3,1,1
about,JJ,NN,IN,DT,NN,6,1,0
think,MD,RB,VB,IN,VBG,9,0.6,1
some,RB,RB,DT,JJ,NN,11,0.6,0
'sort of',IN,DT,NN,NN,IN,12,0.8,0
really,RB,NN,RB,STOP,STOP,4,1,1
like,PRP,MD,VB,TO,VB,2,0.8,0
seem,VBZ,RB,VB,RB,JJ,4,1,1
really,VBP,RB,RB,VB,DT,2,1,1
about,DT,VBG,IN,VBG,DT,13,1,0
expect,PRP,MD,VB,IN,VBN,9,1,0
think,MD,RB,VB,IN,CD,4,1,0
possible,VBD,VBN,JJ,IN,NNS,9,1,0
about,DT,NN,IN,DT,CD,8,0.8,1
about,NN,IN,IN,NN,.,6,1,1
'a bit',NNS,VBP,DT,IN,NN,12,0.8,1
'a whole bunch',RB,IN,DT,IN,NNS,39,0.8,1
about,PRP$,NN,IN,PRP,CC,7,1,0
totally,START,PRP,RB,VBP,.,1,1,0
somewhere,NNS,VBG,RB,IN,DT,4,1,1
think,IN,PRP,VBP,PRP,VBZ,2,1,1
could,VBD,NNS,MD,VB,RB,3,0.6,1
believe,VBP,NNS,VB,IN,JJ,24,0.6,0
some,RB,IN,DT,NN,.,4,0.6,0
like,PRP,VBP,IN,DT,JJ,2,0.8,1
some,TO,VB,DT,NN,IN,26,0.6,1
some,PRP,IN,DT,NNS,-RRB-,29,0.8,1
possible,VBD,PRP,JJ,IN,PRP,25,1,0
could,START,LS,MD,RB,VB,1,0.6,1
feel,IN,PRP,VBP,DT,NN,2,0.8,1
perhaps,PRP,MD,RB,VB,IN,11,1,1
about,PRP,VBD,IN,VBG,PDT,14,1,0
really,VBD,RB,RB,VB,IN,14,1,1
feel,VB,PRP,VB,JJ,.,63,1,0
think,START,LS,VB,DT,JJ,1,1,1
about,VBD,VBG,IN,JJ,NN,6,1,0
probably,IN,PRP,RB,VBZ,RB,2,1,1
really,VBZ,RB,RB,JJ,CC,12,0.8,1
maybe,START,START,RB,NNS,JJ,0,0.8,1
'a few',VB,IN,DT,JJR,IN,4,1,1
some,NN,VBZ,DT,NN,NNS,2,1,1
think,START,PRP,VBP,NNP,MD,1,1,1
basically,JJ,NNS,RB,VBP,RP,42,1,1
think,VBP,RB,VB,IN,NN,3,1,1
like,PRP,MD,VB,TO,VB,2,1,0
feel,PRP,RB,VBP,IN,PRP,13,0.6,0
sure,TO,VB,JJ,IN,DT,10,0.6,0
know,FW,FW,VBP,WP,PRP$,2,0.8,1
'pretty much',NN,VBZ,RB,DT,JJ,4,1,1
think,START,PRP,VBP,PRP,VBZ,1,1,1
'sort of',VBZ,DT,NN,NN,IN,4,0.8,1
may,JJ,NNS,MD,VB,NN,3,0.8,1
really,VBP,RB,RB,VB,WP,3,0.6,0
'a bit',MD,VB,DT,VBN,RB,9,1,1
'a little',NNS,VBP,DT,RBR,JJ,6,1,1
about,IN,NNP,IN,CD,NNS,12,1,1
most,RB,VB,RBS,NNS,VBP,4,0.8,1
like,IN,NNS,IN,PRP,STOP,2,1,1
could,VBP,PRP,MD,RB,VB,8,1,0
'a little',PRP,VBD,DT,JJ,NN,2,1,0
seem,PRP,VBZ,VB,DT,IN,2,0.8,1
really,VBP,RB,RB,VBN,.,27,1,1
think,PRP,VBP,VB,DT,NN,2,1,1
some,VBZ,RB,DT,JJ,NN,9,0.6,0
some,MD,VB,DT,NN,IN,3,0.6,1
like,IN,NNS,IN,PRP,MD,6,1,1
think,START,PRP,VBP,PRP,VB,1,0.8,1
much,PRP,VBP,RB,RB,RB,2,1,0
like,VBZ,NNS,IN,PRP,VBP,13,1,1
should,NNP,NN,MD,VB,PRP,9,0.6,0
some,PRP,VB,DT,NN,TO,6,0.6,0
like,NNS,VBP,IN,STOP,STOP,5,0.8,1
some,VBN,IN,DT,NN,IN,5,0.6,0
think,START,PRP,VBP,PRP,VBP,1,1,1
about,VBD,NNS,IN,DT,NN,6,1,0
most,JJS,CC,RBS,JJ,NNS,94,0.6,0
like,VBD,NN,IN,VBD,JJ,52,1,1
think,CC,PRP,VBP,PRP,MD,10,1,1
several,NNS,VBD,JJ,CC,DT,3,0.7,1
most,VBZ,DT,RBS,JJ,NN,6,0.8,0
may,JJ,NN,MD,RB,VB,11,0.8,1
several,MD,IN,JJ,NNS,.,43,1,1
about,VBD,RB,IN,JJ,NN,4,1,0
about,NN,VBD,IN,CD,NNS,3,0.8,1
read,NN,WP$,VB,DT,JJ,4,0.8,0
think,NN,PRP,VBP,PRP,VBP,3,1,1
think,START,PRP,VBP,PRP,VBD,1,1,1
might,DT,NN,MD,VB,NNP,4,0.8,1
find,START,PRP,VBP,PRP,JJ,1,1,1
think,PRP,VBP,VB,PRP,MD,2,1,1
like,START,VB,IN,NN,.,1,0.8,1
much,CC,VBD,RB,RBR,RB,8,0.6,0
unlikely,NNS,VBP,JJ,TO,PRP,4,1,1
should,IN,PRP,MD,VB,STOP,10,0.6,0
'in my opinion',DT,VBZ,IN,RB,JJ,2,1,1
fair,PRP,VBZ,JJ,TO,VB,4,0.8,0
propose,PRP,MD,VB,IN,NNP,12,1,1
about,JJ,IN,IN,NN,VBG,8,1,0
hear,-RRB-,MD,VB,IN,PRP,26,0.8,0
most,VBD,DT,RBS,JJ,NN,3,1,0
'a few',VBP,VBD,DT,NNS,WDT,5,1,1
about,TO,VB,IN,PRP,RB,10,1,0
should,:,WRB,MD,PRP,VB,11,0.6,0
know,RB,RB,VB,NN,IN,12,0.8,0
'a few',VBP,IN,DT,NNS,CC,2,0.8,1
think,VBP,RB,VB,PRP$,IN,3,1,1
know,START,PRP,VBP,IN,VBZ,1,0.6,1
maybe,START,CC,RB,PRP,VBD,1,1,1
some,EX,IN,DT,IN,DT,6,0.7,1
some,EX,VBD,DT,IN,EX,23,0.7,1
several,NNS,VBD,JJ,CC,DT,3,1,1
like,RB,PRP,VBP,TO,VB,2,1,0
should,JJ,NNS,MD,RB,VB,2,1,0
about,DT,JJ,IN,PRP$,VBN,23,1,0
think,CC,PRP,VBP,IN,DT,7,1,1
read,START,PRP,VBP,DT,RB,1,1,0
totally,RB,CC,RB,VBP,.,3,1,0
'they said',:,CC,PRP,DT,NN,22,0.6,1
believe,START,PRP,VBP,DT,TO,1,1,1
most,PRP,DT,RBS,IN,DT,4,0.6,0
really,IN,PRP,RB,MD,VB,5,0.6,1
basic,VBD,DT,JJ,NNS,IN,3,0.7,0
basic,VB,DT,JJ,JJ,NN,14,0.7,0
could,IN,NNP,MD,RB,VB,7,0.8,0
much,VB,RB,RB,IN,DT,15,0.8,1
about,DT,JJS,IN,WP,PRP,12,1,0
about,PRP,VBP,IN,NNP,NNP,16,1,0
often,NNS,POS,RB,VBN,-LRB-,25,0.8,1
often,CD,RB,RB,IN,PRP,5,0.6,1
some,TO,VB,DT,NNS,IN,42,0.6,1
about,TO,VB,IN,DT,NN,14,1,0
'I mean',START,START,PRP,NN,IN,0,0.8,1
know,START,PRP,VBP,IN,NN,1,0.6,0
some,RP,IN,DT,NN,IN,16,0.6,0
someone,NN,WRB,NN,VBZ,NN,6,0.6,1
about,VBD,RBR,IN,PRP$,NN,10,1,0
much,START,RB,RB,IN,DT,1,0.8,0
think,START,PRP,VBP,PRP,MD,1,0.8,1
think,START,PRP,VBP,PRP$,JJ,1,1,1
should,NN,IN,MD,VB,VBN,5,0.8,0
like,DT,NNS,IN,PRP,VBD,12,1,1
like,-RRB-,WDT,IN,NNP,NNP,28,1,1
'sort of',PRP,VBP,NN,IN,DT,4,1,1
somewhere,DT,NN,RB,IN,DT,16,0.6,1
about,NN,:,IN,JJ,VBP,27,0.8,1
think,VBP,RB,VB,IN,NN,3,1,1
some,PRP,VBP,DT,JJ,NN,2,0.6,0
might,JJ,NN,MD,VB,DT,3,1,1
about,NN,VBD,IN,CD,NNS,5,0.6,1
about,NNPS,CC,IN,CD,CD,12,0.6,1
almost,NN,VBZ,RB,VBG,NN,4,0.8,1
some,VBP,VBG,DT,MD,NN,3,0.6,0
'a bit',START,RB,DT,JJR,IN,1,1,1
about,MD,VB,IN,VB,CC,4,0.8,0
may,START,PRP,MD,VB,IN,1,1,1
'I mean',START,START,PRP,RB,NNP,0,0.8,1
feel,PRP,RB,VBP,IN,PRP,2,0.6,1
'a few',VBD,VBD,DT,NNS,RB,10,0.8,1
could,IN,PRP,MD,CC,RB,13,0.8,0
general,DT,JJ,JJ,NN,STOP,15,1,1
about,PRP,VBP,IN,TO,VB,2,0.8,1
much,VBZ,RB,JJ,JJ,.,4,0.6,0
could,RB,PRP,MD,VB,DT,3,0.6,0
remember,START,PRP,VBP,IN,DT,1,0.8,0
find,PRP,MD,VB,DT,JJ,36,1,0
necessarily,-LRB-,RB,RB,NNS,STOP,14,1,1
fair,START,DT,JJ,JJ,NN,1,0.8,0
hear,:,PRP,VBP,DT,JJ,13,0.6,1
about,VBG,NNS,IN,IN,TO,4,0.8,0
might,NN,NN,MD,VB,DT,5,0.6,0
really,IN,PRP,RB,VBD,RB,4,0.6,1
maybe,PRP,VBD,RB,CD,NNS,3,1,1
really,NNP,NNP,RB,VBZ,DT,3,0.6,0
'a few',START,NNP,DT,NNS,RB,1,0.8,1
like,IN,NN,IN,NNP,NNP,17,1,1
know,VBP,RB,VB,IN,CD,3,0.6,1
consider,IN,PRP,VBP,NNS,VB,33,0.6,1
about,IN,PRP,IN,NNS,DT,7,0.8,0
fairly,VBD,IN,RB,JJ,NNS,3,1,1
about,VBD,IN,IN,CD,JJ,3,1,1
'a bunch',RB,VB,DT,IN,NNS,29,1,0
about,RB,VBG,IN,VBN,NN,5,1,0
'kind of',DT,VBD,NN,JJ,.,2,1,1
like,START,PRP,VBP,DT,NNS,1,0.8,0
completely,PRP,VBP,RB,STOP,STOP,2,1,0
expect,CC,PRP,VBP,DT,JJ,11,1,0
really,PRP,VBZ,RB,VBN,RB,6,0.8,1
feel,VBG,PRP,VB,JJ,CC,12,1,0
some,IN,VBG,DT,RB,JJ,16,0.6,1
possible,WP$,JJ,JJ,NN,VBD,13,0.8,0
might,START,PRP,MD,VB,DT,1,1,1
like,VBN,VBG,IN,DT,NN,4,1,1
'look like',VBG,TO,VB,DT,NN,7,0.8,1
about,RB,NN,IN,DT,NN,4,0.8,0
some,EX,VBP,DT,WDT,VBP,3,0.6,0
about,VBP,VBG,IN,DT,JJ,3,1,0
about,NNP,IN,RB,$,CD,17,1,1
most,:,DT,RBS,JJ,TO,8,0.8,0
think,IN,PRP,VBP,PRP,VB,4,1,1
really,PRP,VBP,RB,JJ,IN,2,0.6,0
like,CC,NNS,IN,PRP,VBP,3,1,1
about,IN,VBG,IN,NNS,RB,3,0.8,0
most,IN,DT,RBS,NNS,IN,10,0.8,0
seem,START,NNS,VBP,RB,JJR,1,0.8,1
about,DT,VBZ,IN,DT,NN,13,1,0
should,DT,NN,MD,VB,JJ,2,0.8,1
about,VB,RP,IN,VBG,DT,8,1,0
might,NNS,WDT,MD,VB,JJ,10,0.8,1
might,CD,NN,MD,RB,VB,16,0.8,1
about,RB,VBG,IN,CD,NNS,16,1,1
feel,DT,WP,VBP,DT,NN,15,1,0
sure,PRP,VBP,JJ,PRP$,NNS,2,0.7,1
sure,FW,VBP,JJ,PRP,MD,12,0.7,1
believe,CC,PRP,VBP,IN,PRP$,16,1,1
possible,VBZ,RB,JJ,PRP,MD,8,1,0
might,NNPS,IN,MD,RB,VB,6,0.8,1
sure,VBP,RB,JJ,IN,DT,3,1,1
suggest,NN,MD,VB,DT,NNS,15,0.6,1
'a bit',VBP,RB,DT,RBR,JJ,24,0.8,1
may,START,PRP,MD,RB,VB,1,1,1
'a couple',NNP,VBD,DT,IN,NNS,8,0.8,1
could,CC,PRP,MD,VB,JJ,2,0.6,0
'I mean',START,START,PRP,RB,RB,0,0.8,1
some,PRP,VBP,DT,NNS,WDT,2,0.8,1
about,PRP,VBZ,IN,NN,IN,2,1,0
know,VBP,RB,VB,WP,TO,4,0.8,0
some,VBP,VBN,DT,NNS,WRB,3,0.6,1
know,NNS,WP,VBP,NN,STOP,8,1,0
about,IN,VBG,IN,CD,NNS,2,1,1
fair,VBZ,RB,JJ,IN,DT,11,0.8,0
like,NNS,VBG,IN,NNS,.,27,1,1
think,:,PRP,VBP,PRP$,NN,13,0.6,1
feel,PRP,MD,VB,VBN,.,5,0.8,0
think,START,PRP,VBP,IN,DT,1,1,1
most,VBZ,DT,JJS,NN,IN,4,0.6,0
could,WRB,PRP,MD,VB,RP,24,1,0
should,IN,WP,MD,VB,VBN,6,1,0
may,DT,NNS,MD,VB,RB,9,0.8,1
like,VBP,NNS,IN,IN,NN,6,1,1
like,START,VBZ,IN,NNP,VBZ,1,1,1
totally,TO,NN,RB,JJ,IN,25,1,0
basically,START,START,RB,PRP,VBP,0,1,1
assume,START,LS,VB,DT,IN,1,1,1
could,IN,PRP,MD,VB,PRP,10,1,0
understand,:,PRP,VBP,RB,VBG,15,0.6,0
could,POS,NN,MD,VB,RB,11,0.8,1
really,NN,WDT,RB,VBD,PRP,3,0.6,0
like,VBN,NN,IN,DT,:,4,1,1
about,RB,JJ,IN,DT,NN,26,0.7,1
about,JJ,JJ,IN,NN,:,21,0.7,1
'pretty much',VBZ,IN,RB,VBD,.,4,1,1
some,NN,CC,DT,JJ,NNS,8,0.6,0
like,PRP,DT,IN,CC,PRP,7,0.6,0
like,PRP,VBZ,VB,.,STOP,26,0.6,0
consider,PRP,MD,VB,NNP,TO,2,0.6,1
think,START,PRP,VBP,PRP,VB,1,1,1
could,DT,JJ,MD,VB,PRP,17,0.6,0
like,DT,NN,IN,NNPS,WRB,4,1,1
about,-LRB-,VBG,IN,JJ,VBZ,4,0.8,0
about,MD,VB,IN,NN,RB,6,1,0
could,POS,NN,MD,VB,VBG,20,1,1
like,IN,PRP,VBP,PRP,JJR,15,1,0
know,PRP,RB,VBP,DT,NN,5,0.8,0
find,MD,RB,VB,NN,IN,15,1,0
about,DT,NN,IN,DT,NN,6,1,0
could,VBP,PRP,MD,VB,PRP$,3,0.8,0
about,VBN,VBG,IN,JJ,NN,4,0.8,0
several,MD,VB,JJ,NNS,IN,3,1,1
may,NN,PRP,MD,VB,NN,23,1,1
feel,PRP,MD,VB,DT,JJ,22,1,0
know,PRP,MD,VB,NN,IN,23,0.8,0
some,VBN,PRP$,DT,NNS,WDT,9,0.5,0
some,NN,CC,DT,NN,PRP,25,0.5,0
really,VBZ,RB,RB,DT,JJ,3,0.8,1
could,-RRB-,CC,MD,RB,VB,13,0.8,0
seem,DT,NNS,VBP,TO,VB,2,0.8,1
'a few',RB,VBD,DT,NNS,-RRB-,23,0.8,1
seem,START,PRP,VBP,TO,VB,1,1,1
seem,VB,NN,VBP,RBR,VBN,9,1,1
really,PRP,VBP,RB,RB,JJ,2,1,1
find,LS,RB,VBP,PRP,IN,2,1,1
might,START,PRP,MD,VB,IN,1,0.8,1
like,PRP,VBZ,IN,IN,DT,2,0.6,1
about,NN,JJ,IN,PRP$,NNS,26,1,0
about,CC,NNS,IN,NN,.,31,1,0
probably,PRP,VBP,RB,VBN,PRP,22,1,1
'a little',VBZ,VB,DT,JJ,.,13,1,1
necessarily,VBZ,RB,RB,VB,TO,17,1,1
feel,PRP,RB,VBP,IN,PRP$,2,1,1
know,VBP,RB,VB,WP,TO,11,1,1
almost,PRP,VBP,RB,RB,JJ,2,1,1
believe,RB,JJ,VBP,PRP,PRP,13,0.6,0
most,NN,VBD,JJS,IN,DT,14,0.6,1
some,VB,VB,DT,JJ,NN,4,0.8,0
some,NN,IN,DT,JJ,NN,10,0.6,0
may,VBP,NNP,MD,VB,RBR,8,1,1
'kind of',PRP,VBZ,NN,JJ,TO,2,1,1
like,RB,VB,IN,PRP,VBZ,10,0.8,1
usually,IN,NNS,RB,VBP,STOP,2,1,1
about,VB,NN,IN,NN,NN,11,1,0
'a couple',JJ,IN,DT,IN,NNS,8,1,1
most,VBP,RB,RBS,RB,WRB,4,0.8,0
hear,START,PRP,VBP,DT,NNS,1,0.8,1
feel,IN,PRP,VBP,IN,IN,9,0.6,1
like,VBZ,NNS,IN,PRP,VBP,13,1,1
about,RB,VBG,IN,WRB,JJ,7,1,0
