@relation AnnaHedgeData
@attribute pos0 numeric
@attribute pos1 numeric
@attribute pos2 numeric
@attribute pos3 numeric
@attribute pos4 numeric
@attribute pos5 numeric
@attribute pos6 numeric
@attribute pos7 numeric
@attribute pos8 numeric
@attribute pos9 numeric

@attribute hedge {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}
@attribute sentencelength numeric
@attribute ratiolength numeric
@attribute pos-2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos-1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute position numeric
@attribute agreement numeric
@attribute judgment {1,0}

@data
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,28,0.285714286,JJ,NNS,IN,DT,NN,8,1,0
0.13423,0.1924,-0.31901,0.20852,-0.2892,-0.17111,-0.0958,-0.08884,-0.15045,-0.28495,really,15,0.6,PRP,VBD,RB,PRP$,NN,9,1,1
0.04024,-0.04098,0.00118,0.03253,-0.05228,-0.06317,-0.08276,-0.017,0.02318,0.00847,understand,12,0.416666667,MD,RB,VB,NNS,TO,5,0.8,0
0.08557,0.03856,-0.02489,-0.00836,0.05089,0.01708,-0.03336,-0.02515,-0.00864,0.00446,somewhere,33,0.545454545,CC,VBP,RB,IN,DT,18,0.6,0
0.00748,0.24395,-0.1493,0.16064,-0.04544,-0.15961,0.04498,-0.12322,-0.22624,0.04632,like,16,0.5625,WDT,VBD,IN,DT,NN,9,1,1
0.38062,-0.01356,-0.02117,-0.05271,0.03399,0.05393,-0.06566,-0.11217,0.04072,-0.19764,some,13,0.230769231,VBP,VBN,DT,IN,PRP$,3,0.8,0
0.38062,-0.01356,-0.02117,-0.05271,0.03399,0.05393,-0.06566,-0.11217,0.04072,-0.19764,some,16,0.5625,NNP,IN,DT,RB,VBD,9,0.6,0
0.00002,0.12485,-0.14856,0.00168,-0.18895,0.01226,-0.10594,-0.07096,-0.1002,-0.18898,could,11,0.090909091,START,PRP,MD,RB,VB,1,0.8,0
0.38062,-0.01356,-0.02117,-0.05271,0.03399,0.05393,-0.06566,-0.11217,0.04072,-0.19764,some,33,0.303030303,NN,VBG,DT,IN,DT,10,1,1
0.35297,-0.08243,0.20814,-0.25084,0.21963,-0.18071,-0.35916,-0.06931,-0.00695,-0.6041,'a little',16,0.125,PRP,VBP,DT,NN,CC,2,1,0
0.00748,0.24395,-0.1493,0.16064,-0.04544,-0.15961,0.04498,-0.12322,-0.22624,0.04632,like,23,0.173913043,VBD,VBN,IN,PRP,DT,4,1,1
0.04024,-0.04098,0.00118,0.03253,-0.05228,-0.06317,-0.08276,-0.017,0.02318,0.00847,understand,10,0.1,START,PRP,VBP,PRP$,NN,1,0.8,0
0.17204,0.03912,0.07736,-0.04442,0.12091,-0.04208,0.08795,-0.11047,0.0423,0.12397,most,35,0.514285714,NN,:,JJS,IN,DT,18,1,1
0.08351,0.03999,-0.17472,0.13275,-0.10443,-0.06685,-0.07165,0.02846,-0.04757,0.00992,find,15,0.733333333,CC,NN,VBP,CD,RB,11,0.8,0
0.44074,0.04602,-0.35602,0.45055,-0.49248,-0.24225,-0.23726,-0.03083,-0.34598,-0.22424,think,17,0.235294118,TO,RB,VB,IN,NN,4,0.6,0
0.319,0.08431,-0.41214,0.40903,-0.56779,-0.202,-0.17724,0.01324,-0.13268,-0.2571,know,7,0.428571429,VBP,RB,VB,IN,PRP,3,0.8,1
0.44074,0.04602,-0.35602,0.45055,-0.49248,-0.24225,-0.23726,-0.03083,-0.34598,-0.22424,think,24,0.125,VBD,RB,VB,PRP,VBD,3,1,1
0.11975,0.17995,-0.22347,-0.05663,-0.18843,-0.0545,-0.08812,-0.10528,-0.06234,-0.06879,may,27,0.074074074,DT,NN,MD,VB,NNP,2,1,1
0.11555,0.05234,-0.07625,0.05588,0.0297,0.01004,-0.02133,-0.02579,-0.04755,-0.03745,apparently,12,0.25,:,PRP,RB,VBZ,TO,3,1,1
0.00002,0.12485,-0.14856,0.00168,-0.18895,0.01226,-0.10594,-0.07096,-0.1002,-0.18898,could,21,0.523809524,IN,PRP,MD,VB,IN,11,0.8,0
0.08351,0.03999,-0.17472,0.13275,-0.10443,-0.06685,-0.07165,0.02846,-0.04757,0.00992,find,66,0.393939394,PRP,VBD,VB,PRP,JJ,26,1,1
0.00002,0.12485,-0.14856,0.00168,-0.18895,0.01226,-0.10594,-0.07096,-0.1002,-0.18898,could,41,0.024390244,START,PRP,MD,VB,VBN,1,1,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,27,0.407407407,VB,IN,IN,PRP,'\'\'',11,1,0
0.41548,-0.17641,0.20345,-0.29888,0.28813,-0.10528,-0.30855,-0.10238,0.02538,-0.59243,'a couple',10,0.5,JJ,VBD,DT,IN,NNS,5,1,1
0.00748,0.24395,-0.1493,0.16064,-0.04544,-0.15961,0.04498,-0.12322,-0.22624,0.04632,like,17,0.176470588,MD,VB,IN,DT,JJ,3,0.8,1
0.49452,-0.01157,0.27018,-0.25735,0.37993,-0.1712,-0.3051,-0.07164,0.01043,-0.48681,'a few',18,0.277777778,IN,RB,DT,IN,DT,5,0.8,1
0.12562,0.02904,-0.05369,0.00845,-0.1058,-0.06467,-0.02216,0.01384,-0.01606,-0.00891,probably,10,0.2,DT,MD,RB,VB,NN,2,1,1
0.16313,0.06546,0.02393,0.02652,0.03191,-0.00524,-0.04378,-0.05501,-0.05389,-0.05937,possible,23,0.130434783,VBZ,RB,JJ,IN,PRP,3,1,1
0.04025,-0.00243,0.06066,0.0338,-0.04609,0.02959,-0.03467,-0.02934,0.00674,0.04468,totally,18,0.166666667,PRP,VBP,RB,JJ,IN,3,1,0
0.13423,0.1924,-0.31901,0.20852,-0.2892,-0.17111,-0.0958,-0.08884,-0.15045,-0.28495,really,16,0.1875,PRP,MD,RB,VB,IN,3,0.6,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,30,0.266666667,WDT,VBZ,IN,DT,JJ,8,1,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,6,0.833333333,JJ,VBG,IN,STOP,STOP,5,1,0
0.00278,0.06908,-0.00183,0.04718,-0.02546,-0.0542,0.02853,-0.01888,-0.02288,-0.01586,maybe,9,0.555555556,:,CC,RB,PRP,VBZ,5,0.8,1
0.00002,0.12485,-0.14856,0.00168,-0.18895,0.01226,-0.10594,-0.07096,-0.1002,-0.18898,could,9,0.222222222,DT,NNS,MD,VB,VBN,2,0.8,1
0.02518,-0.01937,0.03421,0.00027,-0.03498,-0.04537,-0.03344,-0.023,-0.05807,0.00203,fair,25,0.44,NNP,FW,JJ,JJ,:,11,0.8,0
0.11975,0.17995,-0.22347,-0.05663,-0.18843,-0.0545,-0.08812,-0.10528,-0.06234,-0.06879,may,14,0.285714286,NN,WDT,MD,VB,VBN,4,1,1
0.12272,-0.02604,0.01819,0.11159,-0.099,-0.07168,-0.02896,-0.031,-0.06249,-0.06044,remember,10,0.1,START,PRP,VBP,DT,JJ,1,0.8,0
0.13423,0.1924,-0.31901,0.20852,-0.2892,-0.17111,-0.0958,-0.08884,-0.15045,-0.28495,really,31,0.548387097,VBD,RB,RB,RB,VB,17,0.8,1
0.02053,-0.02938,-0.03717,0.00583,-0.04244,-0.02763,0.02967,0.00722,-0.06192,-0.05109,completely,9,0.777777778,CC,VBD,RB,VBN,STOP,7,1,0
0.319,0.08431,-0.41214,0.40903,-0.56779,-0.202,-0.17724,0.01324,-0.13268,-0.2571,know,31,0.096774194,VBP,RB,VB,WRB,RB,3,0.8,1
0.11777,0.17045,-0.08136,-0.13556,-0.12001,0.08608,-0.02483,-0.14924,-0.11214,-0.17802,should,28,0.821428571,NN,IN,MD,VB,PRP$,23,0.8,0
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,13,0.769230769,NNP,NNS,IN,DT,NNS,10,1,0
0.11975,0.17995,-0.22347,-0.05663,-0.18843,-0.0545,-0.08812,-0.10528,-0.06234,-0.06879,may,19,0.842105263,WDT,PRP,MD,VB,.,16,1,1
0.17204,0.03912,0.07736,-0.04442,0.12091,-0.04208,0.08795,-0.11047,0.0423,0.12397,most,15,0.333333333,IN,DT,RBS,RB,VBN,5,1,0
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,16,0.3125,VBP,VBG,RB,VBZ,RB,5,1,0
0.00748,0.24395,-0.1493,0.16064,-0.04544,-0.15961,0.04498,-0.12322,-0.22624,0.04632,like,12,0.833333333,JJ,NN,IN,NNP,STOP,10,0.8,1
0.00748,0.24395,-0.1493,0.16064,-0.04544,-0.15961,0.04498,-0.12322,-0.22624,0.04632,like,13,0.692307692,JJ,NNS,IN,PRP,CC,9,1,1
0.05212,-0.02547,0.01278,-0.00522,0.05933,0.04383,0.02758,0.01422,-0.04918,0.00481,basic,9,0.555555556,DT,JJ,JJ,NN,NN,5,0.6,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,11,0.181818182,DT,VBZ,IN,DT,NN,2,0.8,0
0.00002,0.12485,-0.14856,0.00168,-0.18895,0.01226,-0.10594,-0.07096,-0.1002,-0.18898,could,57,0.122807018,NN,CC,MD,VB,VBN,7,1,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,20,0.85,VB,VBG,IN,PRP,.,17,0.8,0
0.11777,0.17045,-0.08136,-0.13556,-0.12001,0.08608,-0.02483,-0.14924,-0.11214,-0.17802,should,24,0.166666667,IN,WP,MD,VB,VBN,4,1,0
0.44074,0.04602,-0.35602,0.45055,-0.49248,-0.24225,-0.23726,-0.03083,-0.34598,-0.22424,think,41,0.390243902,JJ,PRP,VBP,PRP$,NN,16,1,1
0.44074,0.04602,-0.35602,0.45055,-0.49248,-0.24225,-0.23726,-0.03083,-0.34598,-0.22424,think,25,0.16,MD,RB,VB,IN,CD,4,0.8,0
0.319,0.08431,-0.41214,0.40903,-0.56779,-0.202,-0.17724,0.01324,-0.13268,-0.2571,know,15,0.2,VBP,RB,VB,WRB,PRP$,3,0.8,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,17,0.823529412,PRP,VBZ,IN,NN,NN,14,0.8,0
0.11777,0.17045,-0.08136,-0.13556,-0.12001,0.08608,-0.02483,-0.14924,-0.11214,-0.17802,should,19,0.684210526,IN,NNP,MD,VB,VBN,13,1,0
0.38062,-0.01356,-0.02117,-0.05271,0.03399,0.05393,-0.06566,-0.11217,0.04072,-0.19764,some,23,0.739130435,MD,VB,DT,NNS,IN,17,0.6,1
0.319,0.08431,-0.41214,0.40903,-0.56779,-0.202,-0.17724,0.01324,-0.13268,-0.2571,know,10,0.4,WRB,PRP,VBP,IN,PRP,4,0.8,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,15,0.066666667,START,WRB,RB,WRB,DT,1,0.8,0
0.08351,0.03999,-0.17472,0.13275,-0.10443,-0.06685,-0.07165,0.02846,-0.04757,0.00992,find,41,0.804878049,WRB,PRP,VBP,DT,NN,33,0.6,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,20,0.3,VBD,VBG,RB,VBG,TO,6,0.8,0
0.08557,0.03856,-0.02489,-0.00836,0.05089,0.01708,-0.03336,-0.02515,-0.00864,0.00446,somewhere,14,0.5,VBN,IN,RB,IN,DT,7,0.6,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,8,0.5,PRP,VBD,IN,VBG,DT,4,1,0
0.0385,0.01318,0.02148,-0.00531,-0.01087,-0.01152,-0.03334,0.02733,0.01918,0.0166,sometimes,43,0.813953488,-LRB-,CC,RB,NNS,-RRB-,35,0.8,0
0.16635,0.14887,-0.06106,0.00215,-0.05662,-0.03318,-0.07087,-0.10591,-0.0755,-0.08193,might,5,0.2,START,PRP,MD,VB,PRP,1,1,1
0.49452,-0.01157,0.27018,-0.25735,0.37993,-0.1712,-0.3051,-0.07164,0.01043,-0.48681,'a few',9,0.666666667,NN,IN,DT,NNS,STOP,6,1,1
0.38062,-0.01356,-0.02117,-0.05271,0.03399,0.05393,-0.06566,-0.11217,0.04072,-0.19764,some,16,0.625,NN,IN,DT,NNS,-LRB-,10,0.8,1
0.17204,0.03912,0.07736,-0.04442,0.12091,-0.04208,0.08795,-0.11047,0.0423,0.12397,most,16,0.1875,RB,VBP,RBS,DT,JJ,3,0.8,1
0.11975,0.17995,-0.22347,-0.05663,-0.18843,-0.0545,-0.08812,-0.10528,-0.06234,-0.06879,may,25,0.84,JJ,NNS,MD,VB,VBN,21,1,1
0.11975,0.17995,-0.22347,-0.05663,-0.18843,-0.0545,-0.08812,-0.10528,-0.06234,-0.06879,may,7,0.571428571,NN,NNS,MD,VB,NN,4,1,1
0.01558,0.01654,-0.00091,0.05906,-0.07951,0.02021,-0.01701,-0.03305,0.02851,0.01931,imagine,18,0.5,NN,CC,VB,PDT,DT,9,1,0
0.14038,0.14446,0.36745,-0.41442,0.23076,0.26201,0.52766,-0.38687,-0.05404,0.22525,'sort of',17,0.529411765,VBD,DT,NN,JJ,JJ,9,1,0
0.20719,0.09285,0.40546,-0.37242,0.28919,0.25507,0.51532,-0.40785,0.00519,0.25602,'kind of',16,0.25,VBZ,DT,NN,NN,TO,4,0.8,0
0.00248,-0.02089,-0.06396,0.05009,-0.01773,0.00614,0.00565,0.00925,-0.05827,0.00478,expect,12,0.833333333,NN,CC,VBP,NN,STOP,10,1,0
0.319,0.08431,-0.41214,0.40903,-0.56779,-0.202,-0.17724,0.01324,-0.13268,-0.2571,know,14,0.285714286,VBP,RB,VB,WP,VBD,4,0.6,1
0.12562,0.02904,-0.05369,0.00845,-0.1058,-0.06467,-0.02216,0.01384,-0.01606,-0.00891,probably,16,0.875,-RRB-,VBZ,RB,CD,STOP,14,0.6,1
0.11975,0.17995,-0.22347,-0.05663,-0.18843,-0.0545,-0.08812,-0.10528,-0.06234,-0.06879,may,21,0.047619048,START,PRP,MD,VB,DT,1,1,1
0.319,0.08431,-0.41214,0.40903,-0.56779,-0.202,-0.17724,0.01324,-0.13268,-0.2571,know,36,0.638888889,TO,PRP,VBP,FW,VBP,23,1,0
0.09562,0.00235,-0.18654,0.08798,-0.18224,-0.0634,0.02009,-0.09396,-0.12519,-0.11597,read,26,0.038461538,START,PRP,VBP,IN,DT,1,0.6,0
0.319,0.08431,-0.41214,0.40903,-0.56779,-0.202,-0.17724,0.01324,-0.13268,-0.2571,know,16,0.25,RB,RB,VB,WP,VBZ,4,0.8,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,27,0.814814815,DT,JJ,IN,DT,NN,22,1,0
0.44074,0.04602,-0.35602,0.45055,-0.49248,-0.24225,-0.23726,-0.03083,-0.34598,-0.22424,think,5,0.2,START,PRP,VBP,NNS,IN,1,0.8,1
0.12562,0.02904,-0.05369,0.00845,-0.1058,-0.06467,-0.02216,0.01384,-0.01606,-0.00891,probably,8,0.125,START,PRP,RB,VBP,CD,1,1,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,14,0.5,NNP,VBZ,RB,CD,CD,7,1,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,17,0.588235294,PRP,VBD,IN,VBG,JJ,10,1,0
0.09562,0.00235,-0.18654,0.08798,-0.18224,-0.0634,0.02009,-0.09396,-0.12519,-0.11597,read,25,0.04,START,NNS,VBP,DT,JJ,1,1,0
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,11,0.181818182,CC,VBZ,IN,PRP,:,2,0.6,1
0.24352,0.20648,-0.19295,0.1794,-0.31104,-0.08823,-0.11179,-0.23738,-0.15811,-0.27905,'so far',18,0.222222222,RB,VBN,RB,IN,TO,4,0.8,1
0.17204,0.03912,0.07736,-0.04442,0.12091,-0.04208,0.08795,-0.11047,0.0423,0.12397,most,32,0.28125,PRP,VBP,JJS,IN,DT,9,0.8,1
0.00748,0.24395,-0.1493,0.16064,-0.04544,-0.15961,0.04498,-0.12322,-0.22624,0.04632,like,14,0.214285714,RB,VBP,IN,PRP$,RB,3,1,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,21,0.285714286,JJ,NN,IN,DT,NN,6,1,0
0.44074,0.04602,-0.35602,0.45055,-0.49248,-0.24225,-0.23726,-0.03083,-0.34598,-0.22424,think,20,0.45,MD,RB,VB,IN,VBG,9,0.6,1
0.38062,-0.01356,-0.02117,-0.05271,0.03399,0.05393,-0.06566,-0.11217,0.04072,-0.19764,some,39,0.282051282,RB,RB,DT,JJ,NN,11,0.6,0
0.14038,0.14446,0.36745,-0.41442,0.23076,0.26201,0.52766,-0.38687,-0.05404,0.22525,'sort of',18,0.666666667,IN,DT,NN,NN,IN,12,0.8,0
0.13423,0.1924,-0.31901,0.20852,-0.2892,-0.17111,-0.0958,-0.08884,-0.15045,-0.28495,really,5,0.8,RB,NN,RB,STOP,STOP,4,1,1
0.00748,0.24395,-0.1493,0.16064,-0.04544,-0.15961,0.04498,-0.12322,-0.22624,0.04632,like,9,0.222222222,PRP,MD,VB,TO,VB,2,0.8,0
0.31778,0.08715,-0.06566,0.04696,-0.04149,-0.12369,-0.10275,-0.14546,-0.08922,-0.0167,seem,14,0.285714286,VBZ,RB,VB,RB,JJ,4,1,1
0.13423,0.1924,-0.31901,0.20852,-0.2892,-0.17111,-0.0958,-0.08884,-0.15045,-0.28495,really,8,0.25,VBP,RB,RB,VB,DT,2,1,1
0.02809,0.27386,-0.12376,-0.03304,-0.19718,-0.00735,0.13933,-0.05753,-0.01716,-0.03898,about,24,0.541666667,DT,VBG,IN,VBG,DT,13,1,0
0.00248,-0.02089,-0.06396,0.05009,-0.01773,0.00614,0.00565,0.00925,-0.05827,0.00478,expect,13,0.692307692,PRP,MD,VB,IN,VBN,9,1,0
0.44074,0.04602,-0.35602,0.45055,-0.49248,-0.24225,-0.23726,-0.03083,-0.34598,-0.22424,think,25,0.16,MD,RB,VB,IN,CD,4,1,0
0.16313,0.06546,0.02393,0.02652,0.03191,-0.00524,-0.04378,-0.05501,-0.05389,-0.05937,possible,15,0.6,VBD,VBN,JJ,IN,NNS,9,1,0
